"Strain"	"Nitro"	"DayP"	"DensP"	"DensPLSD"	"DensPUSD"	"DensPLCI"	"DensPUCI"	"Model"
"CR3"	"100"	7.3	64388.567	51510.8536	77266.2804	51510.8536	77266.2804	"Logistic"
"CR3"	"100"	7.4	64389.218	51511.3744	77267.0616	51511.3744	77267.0616	"Logistic"
"CR3"	"100"	7.5	64389.7686	51511.81488	77267.72232	51511.81488	77267.72232	"Logistic"
"CR3"	"100"	7.6	64390.2344	51512.18752	77268.28128	51512.18752	77268.28128	"Logistic"
"CR3"	"100"	7.7	64390.6284	51512.50272	77268.75408	51512.50272	77268.75408	"Logistic"
"CR3"	"100"	7.8	64390.9617	51512.76936	77269.15404	51512.76936	77269.15404	"Logistic"
"CR3"	"100"	7.9	64391.2436	51512.99488	77269.49232	51512.99488	77269.49232	"Logistic"
"CR3"	"100"	8	64391.4821	51513.18568	77269.77852	51513.18568	77269.77852	"Logistic"
"CR3"	"100"	8.1	64391.6838	51513.34704	77270.02056	51513.34704	77270.02056	"Logistic"
"CR3"	"100"	8.2	64391.8544	51513.48352	77270.22528	51513.48352	77270.22528	"Logistic"
"CR3"	"100"	8.3	64391.9987	51513.59896	77270.39844	51513.59896	77270.39844	"Logistic"
"CR3"	"100"	8.4	64392.1208	51513.69664	77270.54496	51513.69664	77270.54496	"Logistic"
"CR3"	"100"	8.5	64392.2241	51513.77928	77270.66892	51513.77928	77270.66892	"Logistic"
"CR3"	"100"	8.6	64392.3114	51513.84912	77270.77368	51513.84912	77270.77368	"Logistic"
"CR3"	"100"	8.7	64392.3853	51513.90824	77270.86236	51513.90824	77270.86236	"Logistic"
"CR3"	"100"	8.8	64392.4478	51513.95824	77270.93736	51513.95824	77270.93736	"Logistic"
"CR3"	"100"	8.9	64392.5007	51514.00056	77271.00084	51514.00056	77271.00084	"Logistic"
"CR3"	"100"	9	64392.5454	51514.03632	77271.05448	51514.03632	77271.05448	"Logistic"
"CR3"	"100"	9.1	64392.5832	51514.06656	77271.09984	51514.06656	77271.09984	"Logistic"
"CR3"	"100"	9.2	64392.6152	51514.09216	77271.13824	51514.09216	77271.13824	"Logistic"
"CR3"	"100"	9.3	64392.6422	51514.11376	77271.17064	51514.11376	77271.17064	"Logistic"
"CR3"	"100"	9.4	64392.6651	51514.13208	77271.19812	51514.13208	77271.19812	"Logistic"
"CR3"	"100"	9.5	64392.6845	51514.1476	77271.2214	51514.1476	77271.2214	"Logistic"
"CR3"	"100"	9.6	64392.7009	51514.16072	77271.24108	51514.16072	77271.24108	"Logistic"
"CR3"	"100"	9.7	64392.7147	51514.17176	77271.25764	51514.17176	77271.25764	"Logistic"
"CR3"	"100"	9.8	64392.7265	51514.1812	77271.2718	51514.1812	77271.2718	"Logistic"
"CR3"	"100"	9.9	64392.7364	51514.18912	77271.28368	51514.18912	77271.28368	"Logistic"
"CR3"	"100"	10	64392.7447	51514.19576	77271.29364	51514.19576	77271.29364	"Logistic"
"CR4"	"100"	0	625.4982	500.39856	750.59784	500.39856	750.59784	"Mortality"
"CR4"	"100"	0.1	904.5068	723.60544	1085.40816	723.60544	1085.40816	"Mortality"
"CR4"	"100"	0.2	1297.4633	1037.97064	1556.95596	1037.97064	1556.95596	"Mortality"
"CR4"	"100"	0.3	1843.8996	1475.11968	2212.67952	1475.11968	2212.67952	"Mortality"
"CR4"	"100"	0.4	2593.4994	2074.79952	3112.19928	2074.79952	3112.19928	"Mortality"
"CR4"	"100"	0.5	3607.2147	2885.77176	4328.65764	2885.77176	4328.65764	"Mortality"
"CR4"	"100"	0.6	4957.955	3966.364	5949.546	3966.364	5949.546	"Mortality"
"CR4"	"100"	0.7	6730.6601	5384.52808	8076.79212	5384.52808	8076.79212	"Mortality"
"CR4"	"100"	0.8	9021.5815	7217.2652	10825.8978	7217.2652	10825.8978	"Mortality"
"CR4"	"100"	0.9	11936.6484	9549.31872	14323.97808	9549.31872	14323.97808	"Mortality"
"CR4"	"100"	1	15588.8623	12471.08984	18706.63476	12471.08984	18706.63476	"Mortality"
"CR4"	"100"	1.1	20094.7576	16075.80608	24113.70912	16075.80608	24113.70912	"Mortality"
"CR4"	"100"	1.2	25570.0628	20456.05024	30684.07536	20456.05024	30684.07536	"Mortality"
"CR4"	"100"	1.3	32124.7922	25699.83376	38549.75064	25699.83376	38549.75064	"Mortality"
"CR4"	"100"	1.4	39858.0692	31886.45536	47829.68304	31886.45536	47829.68304	"Mortality"
"CR4"	"100"	1.5	48853.0312	39082.42496	58623.63744	39082.42496	58623.63744	"Mortality"
"CR4"	"100"	1.6	59172.1733	47337.73864	71006.60796	47337.73864	71006.60796	"Mortality"
"CR4"	"100"	1.7	70853.4585	56682.7668	85024.1502	56682.7668	85024.1502	"Mortality"
"CR4"	"100"	1.8	83907.4647	67125.97176	100688.95764	67125.97176	100688.95764	"Mortality"
"CR4"	"100"	1.9	98315.7497	78652.59976	117978.89964	78652.59976	117978.89964	"Mortality"
"CR4"	"100"	2	114030.5207	91224.41656	136836.62484	91224.41656	136836.62484	"Mortality"
"CR4"	"100"	2.1	130975.5912	104780.47296	157170.70944	104780.47296	157170.70944	"Mortality"
"CR4"	"100"	2.2	149048.5218	119238.81744	178858.22616	119238.81744	178858.22616	"Mortality"
"CR4"	"100"	2.3	168123.7637	134499.01096	201748.51644	134499.01096	201748.51644	"Mortality"
"CR4"	"100"	2.4	188056.5771	150445.26168	225667.89252	150445.26168	225667.89252	"Mortality"
"CR4"	"100"	2.5	208687.4667	166949.97336	250424.96004	166949.97336	250424.96004	"Mortality"
"CR4"	"100"	2.6	229846.8749	183877.49992	275816.24988	183877.49992	275816.24988	"Mortality"
"CR4"	"100"	2.7	251359.8871	201087.90968	301631.86452	201087.90968	301631.86452	"Mortality"
"CR4"	"100"	2.8	273050.7363	218440.58904	327660.88356	218440.58904	327660.88356	"Mortality"
"CR4"	"100"	2.9	294746.9336	235797.54688	353696.32032	235797.54688	353696.32032	"Mortality"
"CR4"	"100"	3	316282.8957	253026.31656	379539.47484	253026.31656	379539.47484	"Mortality"
"CR4"	"100"	3.1	337502.9873	270002.38984	405003.58476	270002.38984	405003.58476	"Mortality"
"CR4"	"100"	3.2	358263.9374	286611.14992	429916.72488	286611.14992	429916.72488	"Mortality"
"CR4"	"100"	3.3	378436.6273	302749.30184	454123.95276	302749.30184	454123.95276	"Mortality"
"CR4"	"100"	3.4	397907.2741	318325.81928	477488.72892	318325.81928	477488.72892	"Mortality"
"CR4"	"100"	3.5	416578.0616	333262.44928	499893.67392	333262.44928	499893.67392	"Mortality"
"CR4"	"100"	3.6	434367.28	347493.824	521240.736	347493.824	521240.736	"Mortality"
"CR4"	"100"	3.7	451209.0498	360967.23984	541450.85976	360967.23984	541450.85976	"Mortality"
"CR4"	"100"	3.8	467052.7049	373642.16392	560463.24588	373642.16392	560463.24588	"Mortality"
"CR4"	"100"	3.9	481861.9101	385489.52808	578234.29212	385489.52808	578234.29212	"Mortality"
"CR4"	"100"	4	495613.5858	396490.86864	594736.30296	396490.86864	594736.30296	"Mortality"
"CR4"	"100"	4.1	508296.701	406637.3608	609956.0412	406637.3608	609956.0412	"Mortality"
"CR4"	"100"	4.2	519910.9936	415928.79488	623893.19232	415928.79488	623893.19232	"Mortality"
"CR4"	"100"	4.3	530465.6639	424372.53112	636558.79668	424372.53112	636558.79668	"Mortality"
"CR4"	"100"	4.4	539978.0805	431982.4644	647973.6966	431982.4644	647973.6966	"Mortality"
"CR4"	"100"	4.5	548472.5293	438778.02344	658167.03516	438778.02344	658167.03516	"Mortality"
"CR4"	"100"	4.6	555979.0286	444783.22288	667174.83432	444783.22288	667174.83432	"Mortality"
"CR4"	"100"	4.7	562532.2256	450025.78048	675038.67072	450025.78048	675038.67072	"Mortality"
"CR4"	"100"	4.8	568170.3868	454536.30944	681804.46416	454536.30944	681804.46416	"Mortality"
"CR4"	"100"	4.9	572934.4856	458347.58848	687521.38272	458347.58848	687521.38272	"Mortality"
"CR4"	"100"	5	576867.3907	461493.91256	692240.86884	461493.91256	692240.86884	"Mortality"
"CR4"	"100"	5.1	580013.1524	464010.52192	696015.78288	464010.52192	696015.78288	"Mortality"
"CR4"	"100"	5.2	582416.3855	500728.3257	677430.9115	465933.1084	698899.6626	"Mortality"
"CR4"	"100"	5.3	584121.7403	543775.6457	627461.3623	467297.39224	700946.08836	"Mortality"
"CR4"	"100"	5.4	585173.4584	572116.1826	598528.7373	490495.52	678736.419	"Mortality"
"CR4"	"100"	5.5	585615.0042	583356.9789	587881.7698	563758.171	603407.1474	"Mortality"
"CR4"	"100"	5.6	585488.766	580373.0736	590649.5506	541981.5491	639199.1768	"Mortality"
"CR4"	"100"	5.7	584835.8178	563229.0589	607271.4616	483070.4151	701802.98136	"Mortality"
"CR4"	"100"	5.8	583695.7365	533491.4569	638624.4959	466956.5892	700434.8838	"Mortality"
"CR4"	"100"	5.9	582106.4657	494381.8697	685397.1761	465685.17256	698527.75884	"Mortality"
"CR4"	"100"	6	580104.2214	464083.37712	696125.06568	464083.37712	696125.06568	"Mortality"
"CR4"	"100"	6.1	577723.4316	462178.74528	693268.11792	462178.74528	693268.11792	"Mortality"
"CR4"	"100"	6.2	574996.7067	459997.36536	689996.04804	459997.36536	689996.04804	"Mortality"
"CR4"	"100"	6.3	571954.8338	457563.86704	686345.80056	457563.86704	686345.80056	"Mortality"
"CR4"	"100"	6.4	568626.7912	454901.43296	682352.14944	454901.43296	682352.14944	"Mortality"
"CR4"	"100"	6.5	565039.7802	452031.82416	678047.73624	452031.82416	678047.73624	"Mortality"
"CR4"	"100"	6.6	561219.2694	448975.41552	673463.12328	448975.41552	673463.12328	"Mortality"
"CR4"	"100"	6.7	557189.049	445751.2392	668626.8588	445751.2392	668626.8588	"Mortality"
"CR4"	"100"	6.8	552971.2935	442377.0348	663565.5522	442377.0348	663565.5522	"Mortality"
"CR4"	"100"	6.9	548586.629	438869.3032	658303.9548	438869.3032	658303.9548	"Mortality"
"CR4"	"100"	7	544054.2051	435243.36408	652865.04612	435243.36408	652865.04612	"Mortality"
"CR4"	"100"	7.1	539391.7684	431513.41472	647270.12208	431513.41472	647270.12208	"Mortality"
"CR4"	"100"	7.2	534615.7373	427692.58984	641538.88476	427692.58984	641538.88476	"Mortality"
"CR4"	"100"	7.3	529741.2768	423793.02144	635689.53216	423793.02144	635689.53216	"Mortality"
"CR4"	"100"	7.4	524782.3718	419825.89744	629738.84616	419825.89744	629738.84616	"Mortality"
"CR4"	"100"	7.5	519751.8997	415801.51976	623702.27964	415801.51976	623702.27964	"Mortality"
"CR4"	"100"	7.6	514661.7006	411729.36048	617594.04072	411729.36048	617594.04072	"Mortality"
"CR4"	"100"	7.7	509522.6449	407618.11592	611427.17388	407618.11592	611427.17388	"Mortality"
"CR4"	"100"	7.8	504344.6984	403475.75872	605213.63808	403475.75872	605213.63808	"Mortality"
"CR4"	"100"	7.9	499136.9845	399309.5876	598964.3814	399309.5876	598964.3814	"Mortality"
"CR4"	"100"	8	493907.8435	395126.2748	592689.4122	395126.2748	592689.4122	"Mortality"
"CR4"	"100"	8.1	488664.8883	390931.91064	586397.86596	390931.91064	586397.86596	"Mortality"
"CR4"	"100"	8.2	483415.0578	386732.04624	580098.06936	386732.04624	580098.06936	"Mortality"
"CR4"	"100"	8.3	478164.6663	382531.73304	573797.59956	382531.73304	573797.59956	"Mortality"
"CR4"	"100"	8.4	472919.4511	378335.56088	567503.34132	378335.56088	567503.34132	"Mortality"
"CR4"	"100"	8.5	467684.6158	374147.69264	561221.53896	374147.69264	561221.53896	"Mortality"
"CR4"	"100"	8.6	462464.8716	369971.89728	554957.84592	369971.89728	554957.84592	"Mortality"
"CR4"	"100"	8.7	457264.476	365811.5808	548717.3712	365811.5808	548717.3712	"Mortality"
"CR4"	"100"	8.8	452087.268	361669.8144	542504.7216	361669.8144	542504.7216	"Mortality"
"CR4"	"100"	8.9	446936.7022	357549.36176	536324.04264	357549.36176	536324.04264	"Mortality"
"CR4"	"100"	9	441815.8789	353452.70312	530179.05468	353452.70312	530179.05468	"Mortality"
"CR4"	"100"	9.1	436727.5734	349382.05872	524073.08808	349382.05872	524073.08808	"Mortality"
"CR4"	"100"	9.2	431674.2623	345339.40984	518009.11476	345339.40984	518009.11476	"Mortality"
"CR4"	"100"	9.3	426658.1486	341326.51888	511989.77832	341326.51888	511989.77832	"Mortality"
"CR4"	"100"	9.4	421681.1838	337344.94704	506017.42056	337344.94704	506017.42056	"Mortality"
"CR4"	"100"	9.5	416745.0896	333396.07168	500094.10752	333396.07168	500094.10752	"Mortality"
"CR4"	"100"	9.6	411851.3771	329481.10168	494221.65252	329481.10168	494221.65252	"Mortality"
"CR4"	"100"	9.7	407001.3646	325601.09168	488401.63752	325601.09168	488401.63752	"Mortality"
"CR4"	"100"	9.8	402196.1947	321756.95576	482635.43364	321756.95576	482635.43364	"Mortality"
"CR4"	"100"	9.9	397436.8489	317949.47912	476924.21868	317949.47912	476924.21868	"Mortality"
"CR4"	"100"	10	392724.162	314179.3296	471268.9944	314179.3296	471268.9944	"Mortality"
"CR5"	"100"	0	1144.1716	915.33728	1373.00592	915.33728	1373.00592	"Logistic"
"CR5"	"100"	0.1	1568.1189	1254.49512	1881.74268	1254.49512	1881.74268	"Logistic"
"CR5"	"100"	0.2	2141.2745	1713.0196	2569.5294	1713.0196	2569.5294	"Logistic"
"CR5"	"100"	0.3	2909.218	2327.3744	3491.0616	2327.3744	3491.0616	"Logistic"
"CR5"	"100"	0.4	3927.6703	3142.13624	4713.20436	3142.13624	4713.20436	"Logistic"
"CR5"	"100"	0.5	5263.0895	4210.4716	6315.7074	4210.4716	6315.7074	"Logistic"
"CR5"	"100"	0.6	6992.625	5594.1	8391.15	5594.1	8391.15	"Logistic"
"CR5"	"100"	0.7	9203.2242	7362.57936	11043.86904	7362.57936	11043.86904	"Logistic"
"CR5"	"100"	0.8	11989.7289	9591.78312	14387.67468	9591.78312	14387.67468	"Logistic"
"CR5"	"100"	0.9	15451.893	12361.5144	18542.2716	12361.5144	18542.2716	"Logistic"
"CR5"	"100"	1	19690.3714	15752.29712	23628.44568	15752.29712	23628.44568	"Logistic"
"CR5"	"100"	1.1	24801.8725	19841.498	29762.247	19841.498	29762.247	"Logistic"
"CR5"	"100"	1.2	30873.7985	24699.0388	37048.5582	24699.0388	37048.5582	"Logistic"
"CR5"	"100"	1.3	37978.8037	30383.04296	45574.56444	30383.04296	45574.56444	"Logistic"
"CR5"	"100"	1.4	46169.7517	36935.80136	55403.70204	36935.80136	55403.70204	"Logistic"
"CR5"	"100"	1.5	55475.5405	44380.4324	66570.6486	44380.4324	66570.6486	"Logistic"
"CR5"	"100"	1.6	65898.1896	52718.55168	79077.82752	52718.55168	79077.82752	"Logistic"
"CR5"	"100"	1.7	77411.454	61929.1632	92893.7448	61929.1632	92893.7448	"Logistic"
"CR5"	"100"	1.8	89961.0731	71968.85848	107953.28772	71968.85848	107953.28772	"Logistic"
"CR5"	"100"	1.9	103466.5962	82773.27696	124159.91544	82773.27696	124159.91544	"Logistic"
"CR5"	"100"	2	117824.5837	94259.66696	141389.50044	94259.66696	141389.50044	"Logistic"
"CR5"	"100"	2.1	132912.8695	106330.2956	159495.4434	106330.2956	159495.4434	"Logistic"
"CR5"	"100"	2.2	148595.5133	118876.41064	178314.61596	118876.41064	178314.61596	"Logistic"
"CR5"	"100"	2.3	164728.0499	131782.43992	197673.65988	131782.43992	197673.65988	"Logistic"
"CR5"	"100"	2.4	181162.6749	144930.13992	217395.20988	144930.13992	217395.20988	"Logistic"
"CR5"	"100"	2.5	197753.0585	158202.4468	237303.6702	158202.4468	237303.6702	"Logistic"
"CR5"	"100"	2.6	214358.5609	171486.84872	257230.27308	171486.84872	257230.27308	"Logistic"
"CR5"	"100"	2.7	230847.6983	184678.15864	277017.23796	184678.15864	277017.23796	"Logistic"
"CR5"	"100"	2.8	247100.7917	197680.63336	296520.95004	197680.63336	296520.95004	"Logistic"
"CR5"	"100"	2.9	263011.7978	210409.43824	315614.15736	210409.43824	315614.15736	"Logistic"
"CR5"	"100"	3	278489.3704	222791.49632	334187.24448	222791.49632	334187.24448	"Logistic"
"CR5"	"100"	3.1	293457.2424	234765.79392	352148.69088	234765.79392	352148.69088	"Logistic"
"CR5"	"100"	3.2	307854.0363	246283.22904	369424.84356	246283.22904	369424.84356	"Logistic"
"CR5"	"100"	3.3	321632.6222	257306.09776	385959.14664	257306.09776	385959.14664	"Logistic"
"CR5"	"100"	3.4	334759.1388	267807.31104	401710.96656	267807.31104	401710.96656	"Logistic"
"CR5"	"100"	3.5	347211.7859	277769.42872	416654.14308	277769.42872	416654.14308	"Logistic"
"CR5"	"100"	3.6	358979.4814	287183.58512	430775.37768	287183.58512	430775.37768	"Logistic"
"CR5"	"100"	3.7	370060.4626	296048.37008	444072.55512	296048.37008	444072.55512	"Logistic"
"CR5"	"100"	3.8	380460.8937	304368.71496	456553.07244	304368.71496	456553.07244	"Logistic"
"CR5"	"100"	3.9	390193.5268	312154.82144	468232.23216	312154.82144	468232.23216	"Logistic"
"CR5"	"100"	4	399276.4495	319421.1596	479131.7394	319421.1596	479131.7394	"Logistic"
"CR5"	"100"	4.1	407731.9413	326185.55304	489278.32956	326185.55304	489278.32956	"Logistic"
"CR5"	"100"	4.2	415585.4503	332468.36024	498702.54036	332468.36024	498702.54036	"Logistic"
"CR5"	"100"	4.3	422864.6946	338291.75568	507437.63352	338291.75568	507437.63352	"Logistic"
"CR5"	"100"	4.4	429598.8871	343679.10968	515518.66452	343679.10968	515518.66452	"Logistic"
"CR5"	"100"	4.5	435818.0784	348654.46272	522981.69408	348654.46272	522981.69408	"Logistic"
"CR5"	"100"	4.6	441552.6084	353242.08672	529863.13008	353242.08672	529863.13008	"Logistic"
"CR5"	"100"	4.7	446832.6584	357466.12672	536199.19008	357466.12672	536199.19008	"Logistic"
"CR5"	"100"	4.8	451687.8919	361350.31352	542025.47028	361350.31352	542025.47028	"Logistic"
"CR5"	"100"	4.9	456147.1734	364917.73872	547376.60808	364917.73872	547376.60808	"Logistic"
"CR5"	"100"	5	460238.3548	368190.68384	552286.02576	368190.68384	552286.02576	"Logistic"
"CR5"	"100"	5.1	463988.1195	371190.4956	556785.7434	371190.4956	556785.7434	"Logistic"
"CR5"	"100"	5.2	467421.8751	373937.50008	560906.25012	373937.50008	560906.25012	"Logistic"
"CR5"	"100"	5.3	470563.6861	376450.94888	564676.42332	376450.94888	564676.42332	"Logistic"
"CR5"	"100"	5.4	473436.24	378748.992	568123.488	378748.992	568123.488	"Logistic"
"CR5"	"100"	5.5	476060.8393	380848.67144	571273.00716	380848.67144	571273.00716	"Logistic"
"CR5"	"100"	5.6	478457.4154	382765.93232	574148.89848	382765.93232	574148.89848	"Logistic"
"CR5"	"100"	5.7	480644.5579	384515.64632	576773.46948	384515.64632	576773.46948	"Logistic"
"CR5"	"100"	5.8	482639.5567	386111.64536	579167.46804	386111.64536	579167.46804	"Logistic"
"CR5"	"100"	5.9	484458.4535	387566.7628	581350.1442	387566.7628	581350.1442	"Logistic"
"CR5"	"100"	6	486116.0987	388892.87896	583339.31844	388892.87896	583339.31844	"Logistic"
"CR5"	"100"	6.1	487626.2134	390100.97072	585151.45608	390100.97072	585151.45608	"Logistic"
"CR5"	"100"	6.2	489001.4522	391201.16176	586801.74264	391201.16176	586801.74264	"Logistic"
"CR5"	"100"	6.3	490253.4685	392202.7748	588304.1622	392202.7748	588304.1622	"Logistic"
"CR5"	"100"	6.4	491392.9781	393114.38248	589671.57372	393114.38248	589671.57372	"Logistic"
"CR5"	"100"	6.5	492429.8223	393943.85784	590915.78676	393943.85784	590915.78676	"Logistic"
"CR5"	"100"	6.6	493373.0291	394698.42328	592047.63492	394698.42328	592047.63492	"Logistic"
"CR5"	"100"	6.7	494230.8716	395384.69728	593077.04592	395384.69728	593077.04592	"Logistic"
"CR5"	"100"	6.8	495010.9243	396008.73944	594013.10916	396008.73944	594013.10916	"Logistic"
"CR5"	"100"	6.9	495720.1164	396576.09312	594864.13968	396576.09312	594864.13968	"Logistic"
"CR5"	"100"	7	496364.7817	397091.82536	595637.73804	397091.82536	595637.73804	"Logistic"
"CR5"	"100"	7.1	496950.7063	397560.56504	596340.84756	397560.56504	596340.84756	"Logistic"
"CR5"	"100"	7.2	497483.1723	397986.53784	596979.80676	397986.53784	596979.80676	"Logistic"
"CR5"	"100"	7.3	497966.9993	398373.59944	597560.39916	398373.59944	597560.39916	"Logistic"
"CR5"	"100"	7.4	498406.5824	398725.26592	598087.89888	398725.26592	598087.89888	"Logistic"
"CR5"	"100"	7.5	498805.9284	399044.74272	598567.11408	399044.74272	598567.11408	"Logistic"
"CR5"	"100"	7.6	499168.6877	399334.95016	599002.42524	399334.95016	599002.42524	"Logistic"
"CR5"	"100"	7.7	499498.1855	399598.5484	599397.8226	399598.5484	599397.8226	"Logistic"
"CR5"	"100"	7.8	499797.4495	399837.9596	599756.9394	399837.9596	599756.9394	"Logistic"
"CR5"	"100"	7.9	500069.2356	400055.38848	600083.08272	400055.38848	600083.08272	"Logistic"
"CR5"	"100"	8	500316.0519	400252.84152	600379.26228	400252.84152	600379.26228	"Logistic"
"CR5"	"100"	8.1	500540.1799	400432.14392	600648.21588	400432.14392	600648.21588	"Logistic"
"CR5"	"100"	8.2	500743.6952	400594.95616	600892.43424	400594.95616	600892.43424	"Logistic"
"CR5"	"100"	8.3	500928.485	400742.788	601114.182	400742.788	601114.182	"Logistic"
"CR5"	"100"	8.4	501096.2653	400877.01224	601315.51836	400877.01224	601315.51836	"Logistic"
"CR5"	"100"	8.5	501248.5961	400998.87688	601498.31532	400998.87688	601498.31532	"Logistic"
"CR5"	"100"	8.6	501386.8954	401109.51632	601664.27448	401109.51632	601664.27448	"Logistic"
"CR5"	"100"	8.7	501512.4517	401209.96136	601814.94204	401209.96136	601814.94204	"Logistic"
"CR5"	"100"	8.8	501626.4359	401301.14872	601951.72308	401301.14872	601951.72308	"Logistic"
"CR5"	"100"	8.9	501729.9121	401383.92968	602075.89452	401383.92968	602075.89452	"Logistic"
"CR5"	"100"	9	501823.8467	401459.07736	602188.61604	401459.07736	602188.61604	"Logistic"
"CR5"	"100"	9.1	501909.1178	401527.29424	602290.94136	401527.29424	602290.94136	"Logistic"
"CR5"	"100"	9.2	501986.523	401589.2184	602383.8276	401589.2184	602383.8276	"Logistic"
"CR5"	"100"	9.3	502056.7866	401645.42928	602468.14392	401645.42928	602468.14392	"Logistic"
"CR5"	"100"	9.4	502120.5666	401696.45328	602544.67992	401696.45328	602544.67992	"Logistic"
"CR5"	"100"	9.5	502178.4604	401742.76832	602614.15248	401742.76832	602614.15248	"Logistic"
"CR5"	"100"	9.6	502231.0105	401784.8084	602677.2126	401784.8084	602677.2126	"Logistic"
"CR5"	"100"	9.7	502278.7097	401822.96776	602734.45164	401822.96776	602734.45164	"Logistic"
"CR5"	"100"	9.8	502322.0052	401857.60416	602786.40624	401857.60416	602786.40624	"Logistic"
"CR5"	"100"	9.9	502361.3032	401889.04256	602833.56384	401889.04256	602833.56384	"Logistic"
"CR5"	"100"	10	502396.9726	401917.57808	602876.36712	401917.57808	602876.36712	"Logistic"
"CR6"	"100"	0	1287.4607	1029.96856	1544.95284	1029.96856	1544.95284	"Logistic"
"CR6"	"100"	0.1	1746.7204	1397.37632	2096.06448	1397.37632	2096.06448	"Logistic"
"CR6"	"100"	0.2	2360.3537	1888.28296	2832.42444	1888.28296	2832.42444	"Logistic"
"CR6"	"100"	0.3	3172.9211	2538.33688	3807.50532	2538.33688	3807.50532	"Logistic"
"CR6"	"100"	0.4	4238.1109	3390.48872	5085.73308	3390.48872	5085.73308	"Logistic"
"CR6"	"100"	0.5	5619.0634	4495.25072	6742.87608	4495.25072	6742.87608	"Logistic"
"CR6"	"100"	0.6	7388.0958	5910.47664	8865.71496	5910.47664	8865.71496	"Logistic"
"CR6"	"100"	0.7	9625.6735	7700.5388	11550.8082	7700.5388	11550.8082	"Logistic"
"CR6"	"100"	0.8	12418.515	9934.812	14902.218	9934.812	14902.218	"Logistic"
"CR6"	"100"	0.9	15856.8024	12685.44192	19028.16288	12685.44192	19028.16288	"Logistic"
"CR6"	"100"	1	20030.5672	16024.45376	24036.68064	16024.45376	24036.68064	"Logistic"
"CR6"	"100"	1.1	25025.4353	20020.34824	30030.52236	20020.34824	30030.52236	"Logistic"
"CR6"	"100"	1.2	30918.0152	24734.41216	37101.61824	24734.41216	37101.61824	"Logistic"
"CR6"	"100"	1.3	37771.287	30217.0296	45325.5444	30217.0296	45325.5444	"Logistic"
"CR6"	"100"	1.4	45630.3865	36504.3092	54756.4638	36504.3092	54756.4638	"Logistic"
"CR6"	"100"	1.5	54519.1554	43615.32432	65422.98648	43615.32432	65422.98648	"Logistic"
"CR6"	"100"	1.6	64437.7684	51550.21472	77325.32208	51550.21472	77325.32208	"Logistic"
"CR6"	"100"	1.7	75361.6398	60289.31184	90433.96776	60289.31184	90433.96776	"Logistic"
"CR6"	"100"	1.8	87241.6883	69793.35064	104690.02596	69793.35064	104690.02596	"Logistic"
"CR6"	"100"	1.9	100005.9095	80004.7276	120007.0914	80004.7276	120007.0914	"Logistic"
"CR6"	"100"	2	113562.0895	90849.6716	136274.5074	90849.6716	136274.5074	"Logistic"
"CR6"	"100"	2.1	127801.4094	102241.12752	153361.69128	102241.12752	153361.69128	"Logistic"
"CR6"	"100"	2.2	142602.6392	114082.11136	171123.16704	114082.11136	171123.16704	"Logistic"
"CR6"	"100"	2.3	157836.6031	126269.28248	189403.92372	126269.28248	189403.92372	"Logistic"
"CR6"	"100"	2.4	173370.6224	138696.49792	208044.74688	138696.49792	208044.74688	"Logistic"
"CR6"	"100"	2.5	189072.6794	151258.14352	226887.21528	151258.14352	226887.21528	"Logistic"
"CR6"	"100"	2.6	204815.1084	163852.08672	245778.13008	163852.08672	245778.13008	"Logistic"
"CR6"	"100"	2.7	220477.6833	176382.14664	264573.21996	176382.14664	264573.21996	"Logistic"
"CR6"	"100"	2.8	235950.0326	188760.02608	283140.03912	188760.02608	283140.03912	"Logistic"
"CR6"	"100"	2.9	251133.3704	200906.69632	301360.04448	200906.69632	301360.04448	"Logistic"
"CR6"	"100"	3	265941.575	212753.26	319129.89	212753.26	319129.89	"Logistic"
"CR6"	"100"	3.1	280301.6788	224241.34304	336362.01456	224241.34304	336362.01456	"Logistic"
"CR6"	"100"	3.2	294153.8547	235323.08376	352984.62564	235323.08376	352984.62564	"Logistic"
"CR6"	"100"	3.3	307450.9927	245960.79416	368941.19124	245960.79416	368941.19124	"Logistic"
"CR6"	"100"	3.4	320157.9622	256126.36976	384189.55464	256126.36976	384189.55464	"Logistic"
"CR6"	"100"	3.5	332250.6509	265800.52072	398700.78108	265800.52072	398700.78108	"Logistic"
"CR6"	"100"	3.6	343714.86	274971.888	412457.832	274971.888	412457.832	"Logistic"
"CR6"	"100"	3.7	354545.1259	283636.10072	425454.15108	283636.10072	425454.15108	"Logistic"
"CR6"	"100"	3.8	364743.5243	291794.81944	437692.22916	291794.81944	437692.22916	"Logistic"
"CR6"	"100"	3.9	374318.5009	299454.80072	449182.20108	299454.80072	449182.20108	"Logistic"
"CR6"	"100"	4	383283.7616	306627.00928	459940.51392	306627.00928	459940.51392	"Logistic"
"CR6"	"100"	4.1	391657.2429	313325.79432	469988.69148	313325.79432	469988.69148	"Logistic"
"CR6"	"100"	4.2	399460.1791	319568.14328	479352.21492	319568.14328	479352.21492	"Logistic"
"CR6"	"100"	4.3	406716.2706	325373.01648	488059.52472	325373.01648	488059.52472	"Logistic"
"CR6"	"100"	4.4	413450.9561	330760.76488	496141.14732	330760.76488	496141.14732	"Logistic"
