"Strain"	"Nitro"	"DayP"	"DensP"	"DensPLSD"	"DensPUSD"	"DensPLCI"	"DensPUCI"	"Model"
"CR1"	"100"	5.4	181945.4874	145556.38992	218334.58488	145556.38992	218334.58488	"Logistic"
"CR1"	"100"	5.5	182284.4259	145827.54072	218741.31108	145827.54072	218741.31108	"Logistic"
"CR1"	"100"	5.6	182589.2651	146071.41208	219107.11812	146071.41208	219107.11812	"Logistic"
"CR1"	"100"	5.7	182863.3778	146290.70224	219436.05336	146290.70224	219436.05336	"Logistic"
"CR1"	"100"	5.8	183109.8147	146487.85176	219731.77764	146487.85176	219731.77764	"Logistic"
"CR1"	"100"	5.9	183331.3324	146665.06592	219997.59888	146665.06592	219997.59888	"Logistic"
"CR1"	"100"	6	183530.4204	146824.33632	220236.50448	146824.33632	220236.50448	"Logistic"
"CR1"	"100"	6.1	183709.3254	146967.46032	220451.19048	146967.46032	220451.19048	"Logistic"
"CR1"	"100"	6.2	183870.0737	147096.05896	220644.08844	147096.05896	220644.08844	"Logistic"
"CR1"	"100"	6.3	184014.4921	147211.59368	220817.39052	147211.59368	220817.39052	"Logistic"
"CR1"	"100"	6.4	184144.2267	147315.38136	220973.07204	147315.38136	220973.07204	"Logistic"
"CR1"	"100"	6.5	184260.76	147408.608	221112.912	147408.608	221112.912	"Logistic"
"CR1"	"100"	6.6	184365.4271	147492.34168	221238.51252	147492.34168	221238.51252	"Logistic"
"CR1"	"100"	6.7	184459.4295	147567.5436	221351.3154	147567.5436	221351.3154	"Logistic"
"CR1"	"100"	6.8	184543.8484	147635.07872	221452.61808	147635.07872	221452.61808	"Logistic"
"CR1"	"100"	6.9	184619.6566	147695.72528	221543.58792	147695.72528	221543.58792	"Logistic"
"CR1"	"100"	7	184687.7286	147750.18288	221625.27432	147750.18288	221625.27432	"Logistic"
"CR1"	"100"	7.1	184748.8513	147799.08104	221698.62156	147799.08104	221698.62156	"Logistic"
"CR1"	"100"	7.2	184803.7317	147842.98536	221764.47804	147842.98536	221764.47804	"Logistic"
"CR1"	"100"	7.3	184853.0055	147882.4044	221823.6066	147882.4044	221823.6066	"Logistic"
"CR1"	"100"	7.4	184897.244	147917.7952	221876.6928	147917.7952	221876.6928	"Logistic"
"CR1"	"100"	7.5	184936.9606	147949.56848	221924.35272	147949.56848	221924.35272	"Logistic"
"CR1"	"100"	7.6	184972.6164	147978.09312	221967.13968	147978.09312	221967.13968	"Logistic"
"CR1"	"100"	7.7	185004.626	148003.7008	222005.5512	148003.7008	222005.5512	"Logistic"
"CR1"	"100"	7.8	185033.3615	148026.6892	222040.0338	148026.6892	222040.0338	"Logistic"
"CR1"	"100"	7.9	185059.1573	148047.32584	222070.98876	148047.32584	222070.98876	"Logistic"
"CR1"	"100"	8	185082.3138	148065.85104	222098.77656	148065.85104	222098.77656	"Logistic"
"CR1"	"100"	8.1	185103.1007	148082.48056	222123.72084	148082.48056	222123.72084	"Logistic"
"CR1"	"100"	8.2	185121.7601	148097.40808	222146.11212	148097.40808	222146.11212	"Logistic"
"CR1"	"100"	8.3	185138.5097	148110.80776	222166.21164	148110.80776	222166.21164	"Logistic"
"CR1"	"100"	8.4	185153.5447	148122.83576	222184.25364	148122.83576	222184.25364	"Logistic"
"CR1"	"100"	8.5	185167.0405	148133.6324	222200.4486	148133.6324	222200.4486	"Logistic"
"CR1"	"100"	8.6	185179.1546	148143.32368	222214.98552	148143.32368	222214.98552	"Logistic"
"CR1"	"100"	8.7	185190.0283	148152.02264	222228.03396	148152.02264	222228.03396	"Logistic"
"CR1"	"100"	8.8	185199.7885	148159.8308	222239.7462	148159.8308	222239.7462	"Logistic"
"CR1"	"100"	8.9	185208.5493	148166.83944	222250.25916	148166.83944	222250.25916	"Logistic"
"CR1"	"100"	9	185216.4129	148173.13032	222259.69548	148173.13032	222259.69548	"Logistic"
"CR1"	"100"	9.1	185223.4712	148178.77696	222268.16544	148178.77696	222268.16544	"Logistic"
"CR1"	"100"	9.2	185229.8066	148183.84528	222275.76792	148183.84528	222275.76792	"Logistic"
"CR1"	"100"	9.3	185235.4931	148188.39448	222282.59172	148188.39448	222282.59172	"Logistic"
"CR1"	"100"	9.4	185240.5972	148192.47776	222288.71664	148192.47776	222288.71664	"Logistic"
"CR1"	"100"	9.5	185245.1785	148196.1428	222294.2142	148196.1428	222294.2142	"Logistic"
"CR1"	"100"	9.6	185249.2905	148199.4324	222299.1486	148199.4324	222299.1486	"Logistic"
"CR1"	"100"	9.7	185252.9813	148202.38504	222303.57756	148202.38504	222303.57756	"Logistic"
"CR1"	"100"	9.8	185256.294	148205.0352	222307.5528	148205.0352	222307.5528	"Logistic"
"CR1"	"100"	9.9	185259.2674	148207.41392	222311.12088	148207.41392	222311.12088	"Logistic"
"CR1"	"100"	10	185261.9362	148209.54896	222314.32344	148209.54896	222314.32344	"Logistic"
"CR2"	"100"	0	16.7862	13.42896	20.14344	13.42896	20.14344	"Logistic"
"CR2"	"100"	0.1	28.8354	23.06832	34.60248	23.06832	34.60248	"Logistic"
"CR2"	"100"	0.2	52.3329	41.86632	62.79948	41.86632	62.79948	"Logistic"
"CR2"	"100"	0.3	99.2475	79.398	119.097	79.398	119.097	"Logistic"
"CR2"	"100"	0.4	193.6812	154.94496	232.41744	154.94496	232.41744	"Logistic"
"CR2"	"100"	0.5	381.8236	305.45888	458.18832	305.45888	458.18832	"Logistic"
"CR2"	"100"	0.6	745.6455	596.5164	894.7746	596.5164	894.7746	"Logistic"
"CR2"	"100"	0.7	1415.946	1132.7568	1699.1352	1132.7568	1699.1352	"Logistic"
"CR2"	"100"	0.8	2574.3825	2059.506	3089.259	2059.506	3089.259	"Logistic"
"CR2"	"100"	0.9	4431.5926	3545.27408	5317.91112	3545.27408	5317.91112	"Logistic"
"CR2"	"100"	1	7176.82	5741.456	8612.184	5741.456	8612.184	"Logistic"
"CR2"	"100"	1.1	10913.2424	8730.59392	13095.89088	8730.59392	13095.89088	"Logistic"
"CR2"	"100"	1.2	15608.6442	12486.91536	18730.37304	12486.91536	18730.37304	"Logistic"
"CR2"	"100"	1.3	21087.4024	16869.92192	25304.88288	16869.92192	25304.88288	"Logistic"
"CR2"	"100"	1.4	27067.7108	21654.16864	32481.25296	21654.16864	32481.25296	"Logistic"
"CR2"	"100"	1.5	33225.0786	26580.06288	39870.09432	26580.06288	39870.09432	"Logistic"
"CR2"	"100"	1.6	39255.1793	31404.14344	47106.21516	31404.14344	47106.21516	"Logistic"
"CR2"	"100"	1.7	44916.8736	35933.49888	53900.24832	35933.49888	53900.24832	"Logistic"
"CR2"	"100"	1.8	50049.8642	40039.89136	60059.83704	40039.89136	60059.83704	"Logistic"
"CR2"	"100"	1.9	54571.7751	43657.42008	65486.13012	43657.42008	65486.13012	"Logistic"
"CR2"	"100"	2	58463.4021	46770.72168	70156.08252	46770.72168	70156.08252	"Logistic"
"CR2"	"100"	2.1	61750.0498	49400.03984	74100.05976	49400.03984	74100.05976	"Logistic"
"CR2"	"100"	2.2	64484.0874	51587.26992	77380.90488	51587.26992	77380.90488	"Logistic"
"CR2"	"100"	2.3	66731.108	53384.8864	80077.3296	53384.8864	80077.3296	"Logistic"
"CR2"	"100"	2.4	68560.1854	54848.14832	82272.22248	54848.14832	82272.22248	"Logistic"
"CR2"	"100"	2.5	70037.7344	56030.18752	84045.28128	56030.18752	84045.28128	"Logistic"
"CR2"	"100"	2.6	71224.1222	56979.29776	85468.94664	56979.29776	85468.94664	"Logistic"
"CR2"	"100"	2.7	72172.1845	57737.7476	86606.6214	57737.7476	86606.6214	"Logistic"
"CR2"	"100"	2.8	72926.946	58341.5568	87512.3352	58341.5568	87512.3352	"Logistic"
"CR2"	"100"	2.9	73526.0355	58820.8284	88231.2426	58820.8284	88231.2426	"Logistic"
"CR2"	"100"	3	74000.449	59200.3592	88800.5388	59200.3592	88800.5388	"Logistic"
"CR2"	"100"	3.1	74375.4411	59500.35288	89250.52932	59500.35288	89250.52932	"Logistic"
"CR2"	"100"	3.2	74671.4179	59737.13432	89605.70148	59737.13432	89605.70148	"Logistic"
"CR2"	"100"	3.3	74904.7628	59923.81024	89885.71536	59923.81024	89885.71536	"Logistic"
"CR2"	"100"	3.4	75088.5645	60070.8516	90106.2774	60070.8516	90106.2774	"Logistic"
"CR2"	"100"	3.5	75233.2401	60186.59208	90279.88812	60186.59208	90279.88812	"Logistic"
"CR2"	"100"	3.6	75347.0554	60277.64432	90416.46648	60277.64432	90416.46648	"Logistic"
"CR2"	"100"	3.7	75436.5542	60349.24336	90523.86504	60349.24336	90523.86504	"Logistic"
"CR2"	"100"	3.8	75506.9077	60405.52616	90608.28924	60405.52616	90608.28924	"Logistic"
"CR2"	"100"	3.9	75562.1965	60449.7572	90674.6358	60449.7572	90674.6358	"Logistic"
"CR2"	"100"	4	75605.6374	60484.50992	90726.76488	60484.50992	90726.76488	"Logistic"
"CR2"	"100"	4.1	75639.7635	60511.8108	90767.7162	60511.8108	90767.7162	"Logistic"
"CR2"	"100"	4.2	75666.5686	60533.25488	90799.88232	60533.25488	90799.88232	"Logistic"
"CR2"	"100"	4.3	75687.6213	60550.09704	90825.14556	60550.09704	90825.14556	"Logistic"
"CR2"	"100"	4.4	75704.1546	60563.32368	90844.98552	60563.32368	90844.98552	"Logistic"
"CR2"	"100"	4.5	75717.138	60573.7104	90860.5656	60573.7104	90860.5656	"Logistic"
"CR2"	"100"	4.6	75727.3331	60581.86648	90872.79972	60581.86648	90872.79972	"Logistic"
"CR2"	"100"	4.7	75735.3384	60588.27072	90882.40608	60588.27072	90882.40608	"Logistic"
"CR2"	"100"	4.8	75741.6241	60593.29928	90889.94892	60593.29928	90889.94892	"Logistic"
"CR2"	"100"	4.9	75746.5594	60597.24752	90895.87128	60597.24752	90895.87128	"Logistic"
"CR2"	"100"	5	75750.4344	60600.34752	90900.52128	60600.34752	90900.52128	"Logistic"
"CR2"	"100"	5.1	75753.4769	60602.78152	90904.17228	60602.78152	90904.17228	"Logistic"
"CR2"	"100"	5.2	75755.8656	60604.69248	90907.03872	60604.69248	90907.03872	"Logistic"
"CR2"	"100"	5.3	75757.741	60606.1928	90909.2892	60606.1928	90909.2892	"Logistic"
"CR2"	"100"	5.4	75759.2135	60607.3708	90911.0562	60607.3708	90911.0562	"Logistic"
"CR2"	"100"	5.5	75760.3696	60608.29568	90912.44352	60608.29568	90912.44352	"Logistic"
"CR2"	"100"	5.6	75761.2772	60609.02176	90913.53264	60609.02176	90913.53264	"Logistic"
"CR2"	"100"	5.7	75761.9898	60609.59184	90914.38776	60609.59184	90914.38776	"Logistic"
"CR2"	"100"	5.8	75762.5493	60610.03944	90915.05916	60610.03944	90915.05916	"Logistic"
"CR2"	"100"	5.9	75762.9885	60610.3908	90915.5862	60610.3908	90915.5862	"Logistic"
"CR2"	"100"	6	75763.3334	60610.66672	90916.00008	60610.66672	90916.00008	"Logistic"
"CR2"	"100"	6.1	75763.6041	60610.88328	90916.32492	60610.88328	90916.32492	"Logistic"
"CR2"	"100"	6.2	75763.8167	60611.05336	90916.58004	60611.05336	90916.58004	"Logistic"
"CR2"	"100"	6.3	75763.9836	60611.18688	90916.78032	60611.18688	90916.78032	"Logistic"
"CR2"	"100"	6.4	75764.1146	60611.29168	90916.93752	60611.29168	90916.93752	"Logistic"
"CR2"	"100"	6.5	75764.2175	60611.374	90917.061	60611.374	90917.061	"Logistic"
"CR2"	"100"	6.6	75764.2982	60611.43856	90917.15784	60611.43856	90917.15784	"Logistic"
"CR2"	"100"	6.7	75764.3616	60611.48928	90917.23392	60611.48928	90917.23392	"Logistic"
"CR2"	"100"	6.8	75764.4114	60611.52912	90917.29368	60611.52912	90917.29368	"Logistic"
"CR2"	"100"	6.9	75764.4505	60611.5604	90917.3406	60611.5604	90917.3406	"Logistic"
"CR2"	"100"	7	75764.4812	60611.58496	90917.37744	60611.58496	90917.37744	"Logistic"
"CR2"	"100"	7.1	75764.5053	60611.60424	90917.40636	60611.60424	90917.40636	"Logistic"
"CR2"	"100"	7.2	75764.5242	60611.61936	90917.42904	60611.61936	90917.42904	"Logistic"
"CR2"	"100"	7.3	75764.539	60611.6312	90917.4468	60611.6312	90917.4468	"Logistic"
"CR2"	"100"	7.4	75764.5507	60611.64056	90917.46084	60611.64056	90917.46084	"Logistic"
"CR2"	"100"	7.5	75764.5598	60611.64784	90917.47176	60611.64784	90917.47176	"Logistic"
"CR2"	"100"	7.6	75764.567	60611.6536	90917.4804	60611.6536	90917.4804	"Logistic"
"CR2"	"100"	7.7	75764.5727	60611.65816	90917.48724	60611.65816	90917.48724	"Logistic"
"CR2"	"100"	7.8	75764.5771	60611.66168	90917.49252	60611.66168	90917.49252	"Logistic"
"CR2"	"100"	7.9	75764.5806	60611.66448	90917.49672	60611.66448	90917.49672	"Logistic"
"CR2"	"100"	8	75764.5833	60611.66664	90917.49996	60611.66664	90917.49996	"Logistic"
"CR2"	"100"	8.1	75764.5854	60611.66832	90917.50248	60611.66832	90917.50248	"Logistic"
"CR2"	"100"	8.2	75764.5871	60611.66968	90917.50452	60611.66968	90917.50452	"Logistic"
"CR2"	"100"	8.3	75764.5884	60611.67072	90917.50608	60611.67072	90917.50608	"Logistic"
"CR2"	"100"	8.4	75764.5895	60611.6716	90917.5074	60611.6716	90917.5074	"Logistic"
"CR2"	"100"	8.5	75764.5903	60611.67224	90917.50836	60611.67224	90917.50836	"Logistic"
"CR2"	"100"	8.6	75764.5909	60611.67272	90917.50908	60611.67272	90917.50908	"Logistic"
"CR2"	"100"	8.7	75764.5914	60611.67312	90917.50968	60611.67312	90917.50968	"Logistic"
"CR2"	"100"	8.8	75764.5918	60611.67344	90917.51016	60611.67344	90917.51016	"Logistic"
"CR2"	"100"	8.9	75764.5921	60611.67368	90917.51052	60611.67368	90917.51052	"Logistic"
"CR2"	"100"	9	75764.5924	60611.67392	90917.51088	60611.67392	90917.51088	"Logistic"
"CR2"	"100"	9.1	75764.5926	60611.67408	90917.51112	60611.67408	90917.51112	"Logistic"
"CR2"	"100"	9.2	75764.5927	60611.67416	90917.51124	60611.67416	90917.51124	"Logistic"
"CR2"	"100"	9.3	75764.5928	60611.67424	90917.51136	60611.67424	90917.51136	"Logistic"
"CR2"	"100"	9.4	75764.5929	60611.67432	90917.51148	60611.67432	90917.51148	"Logistic"
"CR2"	"100"	9.5	75764.593	60611.6744	90917.5116	60611.6744	90917.5116	"Logistic"
"CR2"	"100"	9.6	75764.5931	60611.67448	90917.51172	60611.67448	90917.51172	"Logistic"
"CR2"	"100"	9.7	75764.5931	60611.67448	90917.51172	60611.67448	90917.51172	"Logistic"
"CR2"	"100"	9.8	75764.5931	60611.67448	90917.51172	60611.67448	90917.51172	"Logistic"
"CR2"	"100"	9.9	75764.5932	60611.67456	90917.51184	60611.67456	90917.51184	"Logistic"
"CR2"	"100"	10	75764.5932	60611.67456	90917.51184	60611.67456	90917.51184	"Logistic"
"CR3"	"100"	0	153.0681	122.45448	183.68172	122.45448	183.68172	"Logistic"
"CR3"	"100"	0.1	242.9471	194.35768	291.53652	194.35768	291.53652	"Logistic"
"CR3"	"100"	0.2	385.8357	308.66856	463.00284	308.66856	463.00284	"Logistic"
"CR3"	"100"	0.3	609.2139	487.37112	731.05668	487.37112	731.05668	"Logistic"
"CR3"	"100"	0.4	950.5285	760.4228	1140.6342	760.4228	1140.6342	"Logistic"
"CR3"	"100"	0.5	1457.5202	1166.01616	1749.02424	1166.01616	1749.02424	"Logistic"
"CR3"	"100"	0.6	2186.3818	1749.10544	2623.65816	1749.10544	2623.65816	"Logistic"
"CR3"	"100"	0.7	3197.1031	2557.68248	3836.52372	2557.68248	3836.52372	"Logistic"
"CR3"	"100"	0.8	4546.0999	3636.87992	5455.31988	3636.87992	5455.31988	"Logistic"
"CR3"	"100"	0.9	6277.2414	5021.79312	7532.68968	5021.79312	7532.68968	"Logistic"
"CR3"	"100"	1	8413.2401	6730.59208	10095.88812	6730.59208	10095.88812	"Logistic"
"CR3"	"100"	1.1	10949.6019	8759.68152	13139.52228	8759.68152	13139.52228	"Logistic"
"CR3"	"100"	1.2	13852.7629	11082.21032	16623.31548	11082.21032	16623.31548	"Logistic"
"CR3"	"100"	1.3	17062.8773	13650.30184	20475.45276	13650.30184	20475.45276	"Logistic"
"CR3"	"100"	1.4	20500.4672	16400.37376	24600.56064	16400.37376	24600.56064	"Logistic"
"CR3"	"100"	1.5	24075.2789	19260.22312	28890.33468	19260.22312	28890.33468	"Logistic"
"CR3"	"100"	1.6	27695.4524	22156.36192	33234.54288	22156.36192	33234.54288	"Logistic"
"CR3"	"100"	1.7	31275.4263	25020.34104	37530.51156	25020.34104	37530.51156	"Logistic"
"CR3"	"100"	1.8	34741.6347	27793.30776	41689.96164	27793.30776	41689.96164	"Logistic"
"CR3"	"100"	1.9	38035.7174	30428.57392	45642.86088	30428.57392	45642.86088	"Logistic"
"CR3"	"100"	2	41115.4775	32892.382	49338.573	32892.382	49338.573	"Logistic"
"CR3"	"100"	2.1	43954.1122	35163.28976	52744.93464	35163.28976	52744.93464	"Logistic"
"CR3"	"100"	2.2	46538.3264	37230.66112	55845.99168	37230.66112	55845.99168	"Logistic"
"CR3"	"100"	2.3	48865.8845	39092.7076	58639.0614	39092.7076	58639.0614	"Logistic"
"CR3"	"100"	2.4	50943.0318	40754.42544	61131.63816	40754.42544	61131.63816	"Logistic"
"CR3"	"100"	2.5	52782.0742	42225.65936	63338.48904	42225.65936	63338.48904	"Logistic"
"CR3"	"100"	2.6	54399.2778	43519.42224	65279.13336	43519.42224	65279.13336	"Logistic"
"CR3"	"100"	2.7	55813.1571	44650.52568	66975.78852	44650.52568	66975.78852	"Logistic"
"CR3"	"100"	2.8	57043.1511	45634.52088	68451.78132	45634.52088	68451.78132	"Logistic"
"CR3"	"100"	2.9	58108.6525	46486.922	69730.383	46486.922	69730.383	"Logistic"
"CR3"	"100"	3	59028.3351	47222.66808	70834.00212	47222.66808	70834.00212	"Logistic"
"CR3"	"100"	3.1	59819.7216	47855.77728	71783.66592	47855.77728	71783.66592	"Logistic"
"CR3"	"100"	3.2	60498.9343	48399.14744	72598.72116	48399.14744	72598.72116	"Logistic"
"CR3"	"100"	3.3	61080.5821	48864.46568	73296.69852	48864.46568	73296.69852	"Logistic"
"CR3"	"100"	3.4	61577.743	49262.1944	73893.2916	49262.1944	73893.2916	"Logistic"
"CR3"	"100"	3.5	62002.0111	49601.60888	74402.41332	49601.60888	74402.41332	"Logistic"
"CR3"	"100"	3.6	62363.5837	49890.86696	74836.30044	49890.86696	74836.30044	"Logistic"
"CR3"	"100"	3.7	62671.3721	50137.09768	75205.64652	50137.09768	75205.64652	"Logistic"
"CR3"	"100"	3.8	62933.1219	50346.49752	75519.74628	50346.49752	75519.74628	"Logistic"
"CR3"	"100"	3.9	63155.5362	50524.42896	75786.64344	50524.42896	75786.64344	"Logistic"
"CR3"	"100"	4	63344.3943	50675.51544	76013.27316	50675.51544	76013.27316	"Logistic"
"CR3"	"100"	4.1	63504.6642	50803.73136	76205.59704	50803.73136	76205.59704	"Logistic"
"CR3"	"100"	4.2	63640.6054	50912.48432	76368.72648	50912.48432	76368.72648	"Logistic"
"CR3"	"100"	4.3	63755.862	51004.6896	76507.0344	51004.6896	76507.0344	"Logistic"
"CR3"	"100"	4.4	63853.5464	51082.83712	76624.25568	51082.83712	76624.25568	"Logistic"
"CR3"	"100"	4.5	63936.3125	51149.05	76723.575	51149.05	76723.575	"Logistic"
"CR3"	"100"	4.6	64006.4206	51205.13648	76807.70472	51205.13648	76807.70472	"Logistic"
"CR3"	"100"	4.7	64065.7937	51252.63496	76878.95244	51252.63496	76878.95244	"Logistic"
"CR3"	"100"	4.8	64116.0663	51292.85304	76939.27956	51292.85304	76939.27956	"Logistic"
"CR3"	"100"	4.9	64158.6267	51326.90136	76990.35204	51326.90136	76990.35204	"Logistic"
"CR3"	"100"	5	64194.6532	51355.72256	77033.58384	51355.72256	77033.58384	"Logistic"
"CR3"	"100"	5.1	64225.1455	51380.1164	77070.1746	51380.1164	77070.1746	"Logistic"
"CR3"	"100"	5.2	64250.9513	51400.76104	77101.14156	51400.76104	77101.14156	"Logistic"
"CR3"	"100"	5.3	64272.7892	51418.23136	77127.34704	51418.23136	77127.34704	"Logistic"
"CR3"	"100"	5.4	64291.2681	51433.01448	77149.52172	51433.01448	77149.52172	"Logistic"
"CR3"	"100"	5.5	64306.9036	51445.52288	77168.28432	51445.52288	77168.28432	"Logistic"
"CR3"	"100"	5.6	64320.1327	51456.10616	77184.15924	51456.10616	77184.15924	"Logistic"
"CR3"	"100"	5.7	64331.3253	51465.06024	77197.59036	51465.06024	77197.59036	"Logistic"
"CR3"	"100"	5.8	64340.7946	51472.63568	77208.95352	51472.63568	77208.95352	"Logistic"
"CR3"	"100"	5.9	64348.8056	51479.04448	77218.56672	51479.04448	77218.56672	"Logistic"
"CR3"	"100"	6	64355.5828	51484.46624	77226.69936	51484.46624	77226.69936	"Logistic"
"CR3"	"100"	6.1	64361.3161	51489.05288	77233.57932	51489.05288	77233.57932	"Logistic"
"CR3"	"100"	6.2	64366.1661	51492.93288	77239.39932	51492.93288	77239.39932	"Logistic"
"CR3"	"100"	6.3	64370.269	51496.2152	77244.3228	51496.2152	77244.3228	"Logistic"
"CR3"	"100"	6.4	64373.7397	51498.99176	77248.48764	51498.99176	77248.48764	"Logistic"
"CR3"	"100"	6.5	64376.6756	51501.34048	77252.01072	51501.34048	77252.01072	"Logistic"
"CR3"	"100"	6.6	64379.1592	51503.32736	77254.99104	51503.32736	77254.99104	"Logistic"
"CR3"	"100"	6.7	64381.26	51505.008	77257.512	51505.008	77257.512	"Logistic"
"CR3"	"100"	6.8	64383.0371	51506.42968	77259.64452	51506.42968	77259.64452	"Logistic"
"CR3"	"100"	6.9	64384.5403	51507.63224	77261.44836	51507.63224	77261.44836	"Logistic"
"CR3"	"100"	7	64385.8119	51508.64952	77262.97428	51508.64952	77262.97428	"Logistic"
"CR3"	"100"	7.1	64386.8875	51509.51	77264.265	51509.51	77264.265	"Logistic"
"CR3"	"100"	7.2	64387.7974	51510.23792	77265.35688	51510.23792	77265.35688	"Logistic"
