Strain	Nitro	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR6	2	5	21	1	1,29	1	3	40
CR6	4	5	21	1	1,29	1	1	46
CR6	4	5	21	1	1,29	1	2	43
CR6	4	5	21	1	1,29	1	3	41
CR6	6	5	21	1	1,29	1	1	42
CR6	6	5	21	1	1,29	1	2	48
CR6	6	5	21	1	1,29	1	3	51
CR6	8	5	21	1	1,29	1	1	44
CR6	8	5	21	1	1,29	1	2	43
CR6	8	5	21	1	1,29	1	3	45
CR6	10	5	21	1	1,29	1	1	53
CR6	10	5	21	1	1,29	1	2	56
CR6	10	5	21	1	1,29	1	3	54
CR6	20	5	21	1	1,29	1	1	37
CR6	20	5	21	1	1,29	1	2	45
CR6	20	5	21	1	1,29	1	3	43
CR6	30	5	21	1	1,29	1	1	42
CR6	30	5	21	1	1,29	1	2	48
CR6	30	5	21	1	1,29	1	3	50
CR1	1	5	21	1	1,29	2	1	56
CR1	1	5	21	1	1,29	2	2	60
CR1	1	5	21	1	1,29	2	3	66
CR1	2	5	21	1	1,29	2	1	123
CR1	2	5	21	1	1,29	2	2	126
CR1	2	5	21	1	1,29	2	3	105
CR1	4	5	21	1	1,29	2	1	111
CR1	4	5	21	1	1,29	2	2	111
CR1	4	5	21	1	1,29	2	3	105
CR1	6	5	21	1	1,29	2	1	138
CR1	6	5	21	1	1,29	2	2	141
CR1	6	5	21	1	1,29	2	3	153
CR1	8	5	21	1	1,29	2	1	180
CR1	8	5	21	1	1,29	2	2	177
CR1	8	5	21	1	1,29	2	3	144
CR1	10	5	21	1	1,29	2	1	219
CR1	10	5	21	1	1,29	2	2	231
CR1	10	5	21	1	1,29	2	3	219
CR1	20	5	21	1	1,29	2	1	219
CR1	20	5	21	1	1,29	2	2	231
CR1	20	5	21	1	1,29	2	3	228
CR1	30	5	21	1	1,29	2	1	231
CR1	30	5	21	1	1,29	2	2	237
CR1	30	5	21	1	1,29	2	3	237
CR2	1	5	21	1	1,29	2	1	249
CR2	1	5	21	1	1,29	2	2	249
CR2	1	5	21	1	1,29	2	3	261
CR2	2	5	21	1	1,29	2	1	276
CR2	2	5	21	1	1,29	2	2	279
CR2	2	5	21	1	1,29	2	3	291
CR2	4	5	21	1	1,29	2	1	266
CR2	4	5	21	1	1,29	2	2	296
CR2	4	5	21	1	1,29	2	3	293
CR2	6	5	21	1	1,29	2	1	307
CR2	6	5	21	1	1,29	2	2	311
CR2	6	5	21	1	1,29	2	3	306
CR2	8	5	21	1	1,29	2	1	311
CR2	8	5	21	1	1,29	2	2	347
CR2	8	5	21	1	1,29	2	3	314
CR2	10	5	21	1	1,29	2	1	267
CR2	10	5	21	1	1,29	2	2	351
CR2	10	5	21	1	1,29	2	3	324
CR2	20	5	21	1	1,29	2	1	258
CR2	20	5	21	1	1,29	2	2	262
CR2	20	5	21	1	1,29	2	3	281
CR2	30	5	21	1	1,29	2	1	304
CR2	30	5	21	1	1,29	2	2	346
CR2	30	5	21	1	1,29	2	3	297
CR3	1	5	21	1	1,29	2	1	205
CR3	1	5	21	1	1,29	2	2	227
CR3	1	5	21	1	1,29	2	3	240
CR3	2	5	21	1	1,29	2	1	264
CR3	2	5	21	1	1,29	2	2	230
CR3	2	5	21	1	1,29	2	3	260
CR3	4	5	21	1	1,29	2	1	229
CR3	4	5	21	1	1,29	2	2	214
CR3	4	5	21	1	1,29	2	3	262
CR3	6	5	21	1	1,29	2	1	281
CR3	6	5	21	1	1,29	2	2	212
CR3	6	5	21	1	1,29	2	3	259
CR3	8	5	21	1	1,29	2	1	242
CR3	8	5	21	1	1,29	2	2	256
CR3	8	5	21	1	1,29	2	3	208
CR3	10	5	21	1	1,29	2	1	268
CR3	10	5	21	1	1,29	2	2	280
CR3	10	5	21	1	1,29	2	3	234
CR3	20	5	21	1	1,29	2	1	267
CR3	20	5	21	1	1,29	2	2	293
CR3	20	5	21	1	1,29	2	3	283
CR3	30	5	21	1	1,29	2	1	242
CR3	30	5	21	1	1,29	2	2	284
CR3	30	5	21	1	1,29	2	3	214
CR4	1	5	21	1	1,29	2	1	98
CR4	1	5	21	1	1,29	2	2	117
CR4	1	5	21	1	1,29	2	3	88
CR4	2	5	21	1	1,29	2	1	126
CR4	2	5	21	1	1,29	2	2	103
CR4	2	5	21	1	1,29	2	3	121
CR4	4	5	21	1	1,29	2	1	120
CR4	4	5	21	1	1,29	2	2	137
CR4	4	5	21	1	1,29	2	3	106
CR4	6	5	21	1	1,29	2	1	133
CR4	6	5	21	1	1,29	2	2	105
CR4	6	5	21	1	1,29	2	3	131
CR4	8	5	21	1	1,29	2	1	136
CR4	8	5	21	1	1,29	2	2	145
CR4	8	5	21	1	1,29	2	3	120
CR4	10	5	21	1	1,29	2	1	119
CR4	10	5	21	1	1,29	2	2	166
CR4	10	5	21	1	1,29	2	3	156
CR4	20	5	21	1	1,29	2	1	168
CR4	20	5	21	1	1,29	2	2	146
CR4	20	5	21	1	1,29	2	3	135
CR4	30	5	21	1	1,29	2	1	173
CR4	30	5	21	1	1,29	2	2	209
CR4	30	5	21	1	1,29	2	3	262
CR5	1	5	21	1	1,29	2	1	72
CR5	1	5	21	1	1,29	2	2	66
CR5	1	5	21	1	1,29	2	3	70
CR5	2	5	21	1	1,29	2	1	74
CR5	2	5	21	1	1,29	2	2	90
CR5	2	5	21	1	1,29	2	3	64
CR5	4	5	21	1	1,29	2	1	80
CR5	4	5	21	1	1,29	2	2	87
CR5	4	5	21	1	1,29	2	3	93
CR5	6	5	21	1	1,29	2	1	89
CR5	6	5	21	1	1,29	2	2	98
CR5	6	5	21	1	1,29	2	3	104
CR5	8	5	21	1	1,29	2	1	116
CR5	8	5	21	1	1,29	2	2	96
CR5	8	5	21	1	1,29	2	3	74
CR5	10	5	21	1	1,29	2	1	89
CR5	10	5	21	1	1,29	2	2	106
CR5	10	5	21	1	1,29	2	3	126
CR5	20	5	21	1	1,29	2	1	118
CR5	20	5	21	1	1,29	2	2	132
CR5	20	5	21	1	1,29	2	3	136
CR5	30	5	21	1	1,29	2	1	136
CR5	30	5	21	1	1,29	2	2	141
CR5	30	5	21	1	1,29	2	3	179
CR6	1	5	21	1	1,29	2	1	76
CR6	1	5	21	1	1,29	2	2	72
CR6	1	5	21	1	1,29	2	3	89
CR6	2	5	21	1	1,29	2	1	61
CR6	2	5	21	1	1,29	2	2	83
CR6	2	5	21	1	1,29	2	3	83
