Strain	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR4	0,2	5	21	1	1,29	1	71
CR4	0,2	5	21	1	1,29	2	109
CR4	0,2	5	21	1	1,29	3	105
CR5	10	5	21	1	1,29	1	8349
CR5	10	5	21	1	1,29	2	8496
CR5	10	5	21	1	1,29	3	8934
CR5	7,5	5	21	1	1,29	1	7137
CR5	7,5	5	21	1	1,29	2	7223
CR5	7,5	5	21	1	1,29	3	7111
CR5	5	5	21	1	1,29	1	4561
CR5	5	5	21	1	1,29	2	4163
CR5	5	5	21	1	1,29	3	5011
CR5	4	5	21	1	1,29	1	3387
CR5	4	5	21	1	1,29	2	3381
CR5	4	5	21	1	1,29	3	3351
CR5	3	5	21	1	1,29	1	2508
CR5	3	5	21	1	1,29	2	2647
CR5	3	5	21	1	1,29	3	2808
CR5	2	5	21	1	1,29	1	1873
CR5	2	5	21	1	1,29	2	1491
CR5	2	5	21	1	1,29	3	1582
CR5	1	5	21	1	1,29	1	927
CR5	1	5	21	1	1,29	2	670
CR5	1	5	21	1	1,29	3	872
CR5	0,8	5	21	1	1,29	1	760
CR5	0,8	5	21	1	1,29	2	693
CR5	0,8	5	21	1	1,29	3	745
CR5	0,6	5	21	1	1,29	1	394
CR5	0,6	5	21	1	1,29	2	369
CR5	0,6	5	21	1	1,29	3	466
CR5	0,4	5	21	1	1,29	1	123
CR5	0,4	5	21	1	1,29	2	152
CR5	0,4	5	21	1	1,29	3	543
CR5	0,2	5	21	1	1,29	1	106
CR5	0,2	5	21	1	1,29	2	177
CR5	0,2	5	21	1	1,29	3	76
CR6	10	5	21	1	1,29	1	8076
CR6	10	5	21	1	1,29	2	8614
CR6	10	5	21	1	1,29	3	8522
CR6	7,5	5	21	1	1,29	1	6795
CR6	7,5	5	21	1	1,29	2	7103
CR6	7,5	5	21	1	1,29	3	7229
CR6	5	5	21	1	1,29	1	4618
CR6	5	5	21	1	1,29	2	4548
CR6	5	5	21	1	1,29	3	4734
CR6	4	5	21	1	1,29	1	3722
CR6	4	5	21	1	1,29	2	3720
CR6	4	5	21	1	1,29	3	3548
CR6	3	5	21	1	1,29	1	2696
CR6	3	5	21	1	1,29	2	2759
CR6	3	5	21	1	1,29	3	2809
CR6	2	5	21	1	1,29	1	1390
CR6	2	5	21	1	1,29	2	1279
CR6	2	5	21	1	1,29	3	1244
CR6	1	5	21	1	1,29	1	759
CR6	1	5	21	1	1,29	2	595
CR6	1	5	21	1	1,29	3	748
CR6	0,8	5	21	1	1,29	1	708
CR6	0,8	5	21	1	1,29	2	803
CR6	0,8	5	21	1	1,29	3	561
CR6	0,6	5	21	1	1,29	1	288
CR6	0,6	5	21	1	1,29	2	405
CR6	0,6	5	21	1	1,29	3	361
CR6	0,4	5	21	1	1,29	1	191
CR6	0,4	5	21	1	1,29	2	171
CR6	0,4	5	21	1	1,29	3	208
CR6	0,2	5	21	1	1,29	1	48
CR6	0,2	5	21	1	1,29	2	72
CR6	0,2	5	21	1	1,29	3	110
