"Strain"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"	"IngesPLCI"	"IngesPUCI"	"Model"
"CR6"	2.3	0.1228	0.108	0.1376	0.09824	0.14736	"Holling II"
"CR6"	2.4	0.1258	0.1111	0.1405	0.10064	0.15096	"Holling II"
"CR6"	2.5	0.1287	0.1141	0.1432	0.10296	0.15444	"Holling II"
"CR6"	2.6	0.1314	0.117	0.1459	0.10512	0.15768	"Holling II"
"CR6"	2.7	0.1341	0.1198	0.1484	0.10728	0.16092	"Holling II"
"CR6"	2.8	0.1367	0.1225	0.1509	0.10936	0.16404	"Holling II"
"CR6"	2.9	0.1392	0.1252	0.1532	0.11136	0.16704	"Holling II"
"CR6"	3	0.1416	0.1277	0.1555	0.11328	0.16992	"Holling II"
"CR6"	3.1	0.144	0.1302	0.1577	0.1152	0.1728	"Holling II"
"CR6"	3.2	0.1462	0.1326	0.1599	0.11696	0.17544	"Holling II"
"CR6"	3.3	0.1484	0.1349	0.1619	0.11872	0.17808	"Holling II"
"CR6"	3.4	0.1505	0.1372	0.1639	0.1204	0.1804	"Holling II"
"CR6"	3.5	0.1526	0.1393	0.1659	0.12208	0.1823	"Holling II"
"CR6"	3.6	0.1546	0.1415	0.1678	0.12368	0.1841	"Holling II"
"CR6"	3.7	0.1565	0.1435	0.1696	0.1252	0.1858	"Holling II"
"CR6"	3.8	0.1584	0.1455	0.1714	0.12672	0.1875	"Holling II"
"CR6"	3.9	0.1603	0.1474	0.1731	0.12824	0.1892	"Holling II"
"CR6"	4	0.162	0.1493	0.1748	0.1296	0.1908	"Holling II"
"CR6"	4.1	0.1638	0.1511	0.1764	0.13104	0.1924	"Holling II"
"CR6"	4.2	0.1654	0.1528	0.178	0.13232	0.194	"Holling II"
"CR6"	4.3	0.1671	0.1545	0.1796	0.13368	0.1955	"Holling II"
"CR6"	4.4	0.1687	0.1562	0.1811	0.13496	0.197	"Holling II"
"CR6"	4.5	0.1702	0.1578	0.1826	0.13616	0.1985	"Holling II"
"CR6"	4.6	0.1717	0.1593	0.1841	0.13736	0.1999	"Holling II"
"CR6"	4.7	0.1732	0.1608	0.1855	0.13856	0.2014	"Holling II"
"CR6"	4.8	0.1746	0.1623	0.1869	0.13968	0.2028	"Holling II"
"CR6"	4.9	0.176	0.1637	0.1883	0.1408	0.2041	"Holling II"
"CR6"	5	0.1774	0.1651	0.1896	0.14192	0.2055	"Holling II"
"CR6"	5.1	0.1787	0.1664	0.191	0.14296	0.2068	"Holling II"
"CR6"	5.2	0.18	0.1677	0.1923	0.144	0.2081	"Holling II"
"CR6"	5.3	0.1812	0.1689	0.1936	0.14496	0.2094	"Holling II"
"CR6"	5.4	0.1825	0.1701	0.1948	0.146	0.2107	"Holling II"
"CR6"	5.5	0.1837	0.1713	0.196	0.14696	0.212	"Holling II"
"CR6"	5.6	0.1848	0.1724	0.1973	0.14784	0.2133	"Holling II"
"CR6"	5.7	0.186	0.1735	0.1985	0.1488	0.2145	"Holling II"
"CR6"	5.8	0.1871	0.1746	0.1996	0.14968	0.2157	"Holling II"
"CR6"	5.9	0.1882	0.1756	0.2008	0.15056	0.2169	"Holling II"
"CR6"	6	0.1893	0.1767	0.2019	0.15144	0.2181	"Holling II"
"CR6"	6.1	0.1903	0.1776	0.203	0.1524	0.2193	"Holling II"
"CR6"	6.2	0.1914	0.1786	0.2041	0.1533	0.2205	"Holling II"
"CR6"	6.3	0.1924	0.1795	0.2052	0.1543	0.2216	"Holling II"
"CR6"	6.4	0.1934	0.1804	0.2063	0.1551	0.2228	"Holling II"
"CR6"	6.5	0.1943	0.1813	0.2073	0.156	0.2239	"Holling II"
"CR6"	6.6	0.1953	0.1821	0.2084	0.1568	0.225	"Holling II"
"CR6"	6.7	0.1962	0.183	0.2094	0.1577	0.2262	"Holling II"
"CR6"	6.8	0.1971	0.1838	0.2104	0.1584	0.2273	"Holling II"
"CR6"	6.9	0.198	0.1846	0.2114	0.1592	0.2284	"Holling II"
"CR6"	7	0.1988	0.1853	0.2124	0.1599	0.2294	"Holling II"
"CR6"	7.1	0.1997	0.1861	0.2133	0.1606	0.2305	"Holling II"
"CR6"	7.2	0.2005	0.1868	0.2143	0.1613	0.2316	"Holling II"
"CR6"	7.3	0.2014	0.1875	0.2152	0.162	0.2326	"Holling II"
"CR6"	7.4	0.2022	0.1882	0.2161	0.1627	0.2337	"Holling II"
"CR6"	7.5	0.2029	0.1889	0.217	0.1633	0.2347	"Holling II"
"CR6"	7.6	0.2037	0.1895	0.2179	0.1639	0.2357	"Holling II"
"CR6"	7.7	0.2045	0.1901	0.2188	0.1645	0.2367	"Holling II"
"CR6"	7.8	0.2052	0.1908	0.2197	0.1651	0.2377	"Holling II"
"CR6"	7.9	0.206	0.1914	0.2205	0.1656	0.2387	"Holling II"
"CR6"	8	0.2067	0.192	0.2214	0.1661	0.2397	"Holling II"
"CR6"	8.1	0.2074	0.1925	0.2222	0.1667	0.2407	"Holling II"
"CR6"	8.2	0.2081	0.1931	0.223	0.1672	0.2416	"Holling II"
"CR6"	8.3	0.2087	0.1937	0.2238	0.1677	0.2426	"Holling II"
"CR6"	8.4	0.2094	0.1942	0.2246	0.1681	0.2435	"Holling II"
"CR6"	8.5	0.2101	0.1947	0.2254	0.1686	0.2444	"Holling II"
"CR6"	8.6	0.2107	0.1952	0.2262	0.1691	0.2454	"Holling II"
"CR6"	8.7	0.2114	0.1957	0.227	0.1695	0.2463	"Holling II"
"CR6"	8.8	0.212	0.1962	0.2277	0.1699	0.2472	"Holling II"
"CR6"	8.9	0.2126	0.1967	0.2285	0.1703	0.2481	"Holling II"
"CR6"	9	0.2132	0.1972	0.2292	0.1707	0.249	"Holling II"
"CR6"	9.1	0.2138	0.1977	0.2299	0.1711	0.2499	"Holling II"
"CR6"	9.2	0.2144	0.1981	0.2306	0.17152	0.2507	"Holling II"
"CR6"	9.3	0.2149	0.1985	0.2313	0.17192	0.2516	"Holling II"
"CR6"	9.4	0.2155	0.199	0.232	0.1724	0.2524	"Holling II"
"CR6"	9.5	0.2161	0.1994	0.2327	0.17288	0.2533	"Holling II"
"CR6"	9.6	0.2166	0.1998	0.2334	0.17328	0.2541	"Holling II"
"CR6"	9.7	0.2172	0.2002	0.2341	0.17376	0.255	"Holling II"
"CR6"	9.8	0.2177	0.2006	0.2347	0.17416	0.2558	"Holling II"
"CR6"	9.9	0.2182	0.201	0.2354	0.17456	0.2566	"Holling II"
"CR6"	10	0.2187	0.2014	0.236	0.17496	0.2574	"Holling II"
"CR6"	10.1	0.2192	0.2018	0.2367	0.17536	0.2582	"Holling II"
"CR6"	10.2	0.2197	0.2022	0.2373	0.17576	0.259	"Holling II"
"CR6"	10.3	0.2202	0.2025	0.2379	0.17616	0.2598	"Holling II"
"CR6"	10.4	0.2207	0.2029	0.2385	0.17656	0.2605	"Holling II"
"CR6"	10.5	0.2212	0.2032	0.2391	0.17696	0.2613	"Holling II"
"CR6"	10.6	0.2216	0.2036	0.2397	0.17728	0.262	"Holling II"
"CR6"	10.7	0.2221	0.2039	0.2403	0.17768	0.2628	"Holling II"
"CR6"	10.8	0.2226	0.2042	0.2409	0.17808	0.2635	"Holling II"
"CR6"	10.9	0.223	0.2046	0.2415	0.1784	0.2643	"Holling II"
"CR6"	11	0.2235	0.2049	0.2421	0.1788	0.265	"Holling II"
"CR6"	11.1	0.2239	0.2052	0.2426	0.17912	0.2657	"Holling II"
"CR6"	11.2	0.2243	0.2055	0.2432	0.17944	0.2664	"Holling II"
"CR6"	11.3	0.2248	0.2058	0.2437	0.17984	0.2671	"Holling II"
"CR6"	11.4	0.2252	0.2061	0.2443	0.18016	0.2678	"Holling II"
"CR6"	11.5	0.2256	0.2064	0.2448	0.18048	0.2685	"Holling II"
"CR6"	11.6	0.226	0.2067	0.2453	0.1808	0.2692	"Holling II"
"CR6"	11.7	0.2264	0.207	0.2458	0.18112	0.2699	"Holling II"
"CR6"	11.8	0.2268	0.2072	0.2464	0.18144	0.2706	"Holling II"
"CR6"	11.9	0.2272	0.2075	0.2469	0.18176	0.2712	"Holling II"
"CR6"	12	0.2276	0.2078	0.2474	0.18208	0.2719	"Holling II"
"CR6"	12.1	0.228	0.208	0.2479	0.1824	0.2726	"Holling II"
"CR6"	12.2	0.2283	0.2083	0.2484	0.18264	0.2732	"Holling II"
"CR6"	12.3	0.2287	0.2086	0.2488	0.18296	0.2738	"Holling II"
"CR6"	12.4	0.2291	0.2088	0.2493	0.18328	0.2745	"Holling II"
"CR6"	12.5	0.2294	0.2091	0.2498	0.18352	0.2751	"Holling II"
"CR6"	12.6	0.2298	0.2093	0.2503	0.18384	0.2757	"Holling II"
"CR6"	12.7	0.2301	0.2095	0.2507	0.18408	0.27612	"Holling II"
"CR6"	12.8	0.2305	0.2098	0.2512	0.1844	0.2766	"Holling II"
"CR6"	12.9	0.2308	0.21	0.2516	0.18464	0.27696	"Holling II"
"CR6"	13	0.2312	0.2102	0.2521	0.18496	0.27744	"Holling II"
"CR6"	13.1	0.2315	0.2105	0.2525	0.1852	0.2778	"Holling II"
"CR6"	13.2	0.2318	0.2107	0.253	0.18544	0.27816	"Holling II"
"CR6"	13.3	0.2322	0.2109	0.2534	0.18576	0.27864	"Holling II"
"CR6"	13.4	0.2325	0.2111	0.2538	0.186	0.279	"Holling II"
"CR6"	13.5	0.2328	0.2113	0.2543	0.18624	0.27936	"Holling II"
"CR6"	13.6	0.2331	0.2116	0.2547	0.18648	0.27972	"Holling II"
"CR6"	13.7	0.2334	0.2118	0.2551	0.18672	0.28008	"Holling II"
"CR6"	13.8	0.2337	0.212	0.2555	0.18696	0.28044	"Holling II"
"CR6"	13.9	0.234	0.2122	0.2559	0.1872	0.2808	"Holling II"
"CR6"	14	0.2343	0.2124	0.2563	0.18744	0.28116	"Holling II"
"CR6"	14.1	0.2346	0.2126	0.2567	0.18768	0.28152	"Holling II"
"CR6"	14.2	0.2349	0.2128	0.2571	0.18792	0.28188	"Holling II"
"CR6"	14.3	0.2352	0.213	0.2575	0.18816	0.28224	"Holling II"
"CR6"	14.4	0.2355	0.2131	0.2579	0.1884	0.2826	"Holling II"
"CR6"	14.5	0.2358	0.2133	0.2583	0.18864	0.28296	"Holling II"
"CR6"	14.6	0.2361	0.2135	0.2586	0.18888	0.28332	"Holling II"
"CR6"	14.7	0.2364	0.2137	0.259	0.18912	0.28368	"Holling II"
"CR6"	14.8	0.2366	0.2139	0.2594	0.18928	0.28392	"Holling II"
"CR6"	14.9	0.2369	0.214	0.2597	0.18952	0.28428	"Holling II"
"CR6"	15	0.2372	0.2142	0.2601	0.18976	0.28464	"Holling II"
