Strain	Nitro	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR6	100	5	21	1	1,29	7	1	3777
CR6	100	5	21	1	1,29	7	2	2978
CR6	100	5	21	1	1,29	7	3	2927
CR1	100	5	21	1	1,29	8	1	1184
CR1	100	5	21	1	1,29	8	2	1077
CR1	100	5	21	1	1,29	8	3	1194
CR2	100	5	21	1	1,29	8	1	572
CR2	100	5	21	1	1,29	8	2	361
CR2	100	5	21	1	1,29	8	3	443
CR3	100	5	21	1	1,29	8	1	395
CR3	100	5	21	1	1,29	8	2	326
CR3	100	5	21	1	1,29	8	3	291
CR4	100	5	21	1	1,29	8	1	3507
CR4	100	5	21	1	1,29	8	2	3599
CR4	100	5	21	1	1,29	8	3	3449
CR5	100	5	21	1	1,29	8	1	3911
CR5	100	5	21	1	1,29	8	2	3721
CR5	100	5	21	1	1,29	8	3	3626
CR6	100	5	21	1	1,29	8	1	4134
CR6	100	5	21	1	1,29	8	2	3536
CR6	100	5	21	1	1,29	8	3	3487
CR1	100	5	21	1	1,29	9	1	1355
CR1	100	5	21	1	1,29	9	2	1187
CR1	100	5	21	1	1,29	9	3	1419
CR2	100	5	21	1	1,29	9	1	378
CR2	100	5	21	1	1,29	9	2	295
CR2	100	5	21	1	1,29	9	3	290
CR3	100	5	21	1	1,29	9	1	390
CR3	100	5	21	1	1,29	9	2	310
CR3	100	5	21	1	1,29	9	3	249
CR4	100	5	21	1	1,29	9	1	3224
CR4	100	5	21	1	1,29	9	2	3533
CR4	100	5	21	1	1,29	9	3	3704
CR5	100	5	21	1	1,29	9	1	4163
CR5	100	5	21	1	1,29	9	2	3827
CR5	100	5	21	1	1,29	9	3	3929
CR6	100	5	21	1	1,29	9	1	4334
CR6	100	5	21	1	1,29	9	2	4172
CR6	100	5	21	1	1,29	9	3	4019
CR1	100	5	21	1	1,29	10	1	1469
CR1	100	5	21	1	1,29	10	2	1732
CR1	100	5	21	1	1,29	10	3	1424
CR2	100	5	21	1	1,29	10	1	722
CR2	100	5	21	1	1,29	10	2	609
CR2	100	5	21	1	1,29	10	3	734
CR3	100	5	21	1	1,29	10	1	357
CR3	100	5	21	1	1,29	10	2	378
CR3	100	5	21	1	1,29	10	3	475
CR4	100	5	21	1	1,29	10	1	3070
CR4	100	5	21	1	1,29	10	2	3250
CR4	100	5	21	1	1,29	10	3	2655
CR5	100	5	21	1	1,29	10	1	3723
CR5	100	5	21	1	1,29	10	2	3226
CR5	100	5	21	1	1,29	10	3	2817
CR6	100	5	21	1	1,29	10	1	3617
CR6	100	5	21	1	1,29	10	2	3213
CR6	100	5	21	1	1,29	10	3	2427
