"Strain"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"
"CR5"	2	0.1758	0.1483	0.2031
"CR5"	2.1	0.1814	0.153	0.2095
"CR5"	2.2	0.1867	0.1576	0.2156
"CR5"	2.3	0.1918	0.162	0.2215
"CR5"	2.4	0.1966	0.1663	0.2272
"CR5"	2.5	0.2014	0.1704	0.2326
"CR5"	2.6	0.2059	0.1743	0.2379
"CR5"	2.7	0.2103	0.1782	0.243
"CR5"	2.8	0.2145	0.1819	0.2478
"CR5"	2.9	0.2186	0.1854	0.2525
"CR5"	3	0.2225	0.1889	0.257
"CR5"	3.1	0.2263	0.1922	0.2614
"CR5"	3.2	0.23	0.1955	0.2656
"CR5"	3.3	0.2335	0.1986	0.2697
"CR5"	3.4	0.237	0.2016	0.2736
"CR5"	3.5	0.2402	0.2046	0.2774
"CR5"	3.6	0.2434	0.2074	0.281
"CR5"	3.7	0.2465	0.2102	0.2846
"CR5"	3.8	0.2496	0.2129	0.288
"CR5"	3.9	0.2525	0.2155	0.2914
"CR5"	4	0.2553	0.218	0.2946
"CR5"	4.1	0.258	0.2205	0.2977
"CR5"	4.2	0.2607	0.2228	0.3007
"CR5"	4.3	0.2632	0.2252	0.3036
"CR5"	4.4	0.2657	0.2275	0.3064
"CR5"	4.5	0.2682	0.2296	0.3092
"CR5"	4.6	0.2705	0.2318	0.3119
"CR5"	4.7	0.2728	0.2338	0.3144
"CR5"	4.8	0.275	0.2359	0.317
"CR5"	4.9	0.2772	0.2378	0.3194
"CR5"	5	0.2793	0.2397	0.3218
"CR5"	5.1	0.2813	0.2416	0.3241
"CR5"	5.2	0.2833	0.2434	0.3263
"CR5"	5.3	0.2852	0.2452	0.3285
"CR5"	5.4	0.2872	0.247	0.3306
"CR5"	5.5	0.289	0.2487	0.3327
"CR5"	5.6	0.2908	0.2503	0.3348
"CR5"	5.7	0.2925	0.2519	0.3367
"CR5"	5.8	0.2942	0.2535	0.3386
"CR5"	5.9	0.2959	0.255	0.3405
"CR5"	6	0.2975	0.2565	0.3423
"CR5"	6.1	0.2991	0.258	0.3441
"CR5"	6.2	0.3006	0.2594	0.3458
"CR5"	6.3	0.3021	0.2608	0.3475
"CR5"	6.4	0.3036	0.2622	0.3491
"CR5"	6.5	0.305	0.2635	0.3507
"CR5"	6.6	0.3064	0.2648	0.3523
"CR5"	6.7	0.3078	0.2661	0.3538
"CR5"	6.8	0.3092	0.2673	0.3553
"CR5"	6.9	0.3105	0.2686	0.3568
"CR5"	7	0.3118	0.2698	0.3582
"CR5"	7.1	0.313	0.2709	0.3596
"CR5"	7.2	0.3142	0.2721	0.361
"CR5"	7.3	0.3154	0.2732	0.3623
"CR5"	7.4	0.3166	0.2743	0.3636
"CR5"	7.5	0.3178	0.2754	0.3649
"CR5"	7.6	0.3189	0.2764	0.3661
"CR5"	7.7	0.32	0.2775	0.3674
"CR5"	7.8	0.3211	0.2785	0.3686
"CR5"	7.9	0.3222	0.2795	0.3698
"CR5"	8	0.3232	0.2805	0.3709
"CR5"	8.1	0.3242	0.2815	0.372
"CR5"	8.2	0.3252	0.2824	0.3731
"CR5"	8.3	0.3262	0.2833	0.3742
"CR5"	8.4	0.3271	0.2842	0.3753
"CR5"	8.5	0.3281	0.2851	0.3763
"CR5"	8.6	0.329	0.286	0.3774
"CR5"	8.7	0.3299	0.2869	0.3784
"CR5"	8.8	0.3308	0.2877	0.3793
"CR5"	8.9	0.3317	0.2885	0.3803
"CR5"	9	0.3325	0.2894	0.3812
"CR5"	9.1	0.3334	0.2902	0.3822
"CR5"	9.2	0.3342	0.291	0.3831
"CR5"	9.3	0.335	0.2917	0.384
"CR5"	9.4	0.3358	0.2925	0.3849
"CR5"	9.5	0.3366	0.2932	0.3857
"CR5"	9.6	0.3374	0.294	0.3866
"CR5"	9.7	0.3381	0.2947	0.3874
"CR5"	9.8	0.3389	0.2954	0.3882
"CR5"	9.9	0.3396	0.2961	0.389
"CR5"	10	0.3403	0.2968	0.3898
"CR5"	10.1	0.341	0.2975	0.3906
"CR5"	10.2	0.3417	0.2982	0.3913
"CR5"	10.3	0.3424	0.2988	0.3921
"CR5"	10.4	0.3431	0.2994	0.3928
"CR5"	10.5	0.3438	0.3001	0.3936
"CR5"	10.6	0.3444	0.3007	0.3943
"CR5"	10.7	0.345	0.3013	0.395
"CR5"	10.8	0.3457	0.3019	0.3957
"CR5"	10.9	0.3463	0.3025	0.3964
"CR5"	11	0.3469	0.3031	0.397
"CR5"	11.1	0.3475	0.3037	0.3977
"CR5"	11.2	0.3481	0.3043	0.3983
"CR5"	11.3	0.3487	0.3048	0.399
"CR5"	11.4	0.3492	0.3054	0.3996
"CR5"	11.5	0.3498	0.306	0.4002
"CR5"	11.6	0.3504	0.3065	0.4008
"CR5"	11.7	0.3509	0.307	0.4014
"CR5"	11.8	0.3515	0.3075	0.402
"CR5"	11.9	0.352	0.308	0.4026
"CR5"	12	0.3525	0.3086	0.4032
"CR5"	12.1	0.353	0.3091	0.4038
"CR5"	12.2	0.3536	0.3096	0.4043
"CR5"	12.3	0.3541	0.31	0.4048
"CR5"	12.4	0.3546	0.3105	0.4054
"CR5"	12.5	0.355	0.311	0.4059
"CR5"	12.6	0.3555	0.3115	0.4064
"CR5"	12.7	0.356	0.3119	0.407
"CR5"	12.8	0.3565	0.3124	0.4075
"CR5"	12.9	0.357	0.3128	0.408
"CR5"	13	0.3574	0.3133	0.4085
"CR5"	13.1	0.3578	0.3137	0.409
"CR5"	13.2	0.3583	0.3142	0.4094
"CR5"	13.3	0.3588	0.3146	0.4099
"CR5"	13.4	0.3592	0.315	0.4104
"CR5"	13.5	0.3596	0.3154	0.4109
"CR5"	13.6	0.36	0.3158	0.4113
"CR5"	13.7	0.3604	0.3162	0.4118
"CR5"	13.8	0.3608	0.3166	0.4122
"CR5"	13.9	0.3613	0.317	0.4127
"CR5"	14	0.3617	0.3174	0.4131
"CR5"	14.1	0.362	0.3178	0.4135
"CR5"	14.2	0.3624	0.3182	0.414
"CR5"	14.3	0.3628	0.3186	0.4144
"CR5"	14.4	0.3632	0.319	0.4148
"CR5"	14.5	0.3636	0.3193	0.4152
"CR5"	14.6	0.364	0.3197	0.4156
"CR5"	14.7	0.3643	0.32	0.416
"CR5"	14.8	0.3647	0.3204	0.4164
"CR5"	14.9	0.365	0.3208	0.4168
"CR5"	15	0.3654	0.3211	0.4172
"CR6"	0.1	0.0129	0.0108	0.0147
"CR6"	0.2	0.0252	0.0211	0.0288
"CR6"	0.3	0.0369	0.0309	0.0422
"CR6"	0.4	0.0481	0.0402	0.055
"CR6"	0.5	0.0586	0.0491	0.0672
"CR6"	0.6	0.0687	0.0575	0.0789
"CR6"	0.7	0.0782	0.0655	0.0899
"CR6"	0.8	0.0873	0.0732	0.1004
"CR6"	0.9	0.096	0.0804	0.1104
"CR6"	1	0.1042	0.0874	0.1199
"CR6"	1.1	0.112	0.094	0.129
"CR6"	1.2	0.1194	0.1003	0.1376
"CR6"	1.3	0.1265	0.1063	0.1457
"CR6"	1.4	0.1332	0.1121	0.1535
"CR6"	1.5	0.1396	0.1176	0.161
"CR6"	1.6	0.1457	0.1228	0.168
"CR6"	1.7	0.1516	0.1279	0.1747
"CR6"	1.8	0.1572	0.1327	0.1812
"CR6"	1.9	0.1625	0.1373	0.1873
"CR6"	2	0.1676	0.1417	0.1931
"CR6"	2.1	0.1724	0.146	0.1987
"CR6"	2.2	0.1771	0.15	0.204
"CR6"	2.3	0.1815	0.1539	0.2091
"CR6"	2.4	0.1858	0.1577	0.214
"CR6"	2.5	0.1898	0.1613	0.2187
"CR6"	2.6	0.1938	0.1648	0.2231
"CR6"	2.7	0.1975	0.1681	0.2274
"CR6"	2.8	0.2011	0.1713	0.2315
"CR6"	2.9	0.2046	0.1744	0.2355
"CR6"	3	0.2079	0.1774	0.2392
"CR6"	3.1	0.2111	0.1802	0.2429
"CR6"	3.2	0.2142	0.183	0.2464
"CR6"	3.3	0.2172	0.1857	0.2498
"CR6"	3.4	0.22	0.1883	0.253
"CR6"	3.5	0.2228	0.1908	0.2561
"CR6"	3.6	0.2255	0.1932	0.2591
"CR6"	3.7	0.228	0.1956	0.262
"CR6"	3.8	0.2305	0.1978	0.2648
"CR6"	3.9	0.2329	0.2	0.2675
"CR6"	4	0.2352	0.2021	0.2701
"CR6"	4.1	0.2375	0.2042	0.2726
"CR6"	4.2	0.2396	0.2062	0.275
"CR6"	4.3	0.2417	0.2081	0.2774
"CR6"	4.4	0.2438	0.21	0.2796
"CR6"	4.5	0.2457	0.2118	0.2818
"CR6"	4.6	0.2477	0.2135	0.2839
"CR6"	4.7	0.2495	0.2153	0.286
"CR6"	4.8	0.2513	0.2169	0.288
"CR6"	4.9	0.253	0.2186	0.2899
"CR6"	5	0.2547	0.2201	0.2918
"CR6"	5.1	0.2564	0.2217	0.2936
"CR6"	5.2	0.258	0.2231	0.2954
"CR6"	5.3	0.2595	0.2246	0.2971
"CR6"	5.4	0.261	0.226	0.2988
"CR6"	5.5	0.2625	0.2274	0.3004
"CR6"	5.6	0.2639	0.2288	0.302
"CR6"	5.7	0.2653	0.23	0.3035
"CR6"	5.8	0.2666	0.2313	0.305
"CR6"	5.9	0.268	0.2326	0.3064
"CR6"	6	0.2692	0.2338	0.3078
"CR6"	6.1	0.2705	0.235	0.3092
"CR6"	6.2	0.2717	0.2361	0.3106
"CR6"	6.3	0.2729	0.2372	0.3118
"CR6"	6.4	0.274	0.2384	0.3131
"CR6"	6.5	0.2752	0.2394	0.3144
"CR6"	6.6	0.2763	0.2405	0.3156
"CR6"	6.7	0.2774	0.2415	0.3167
"CR6"	6.8	0.2784	0.2425	0.3179
"CR6"	6.9	0.2794	0.2435	0.319
"CR6"	7	0.2804	0.2444	0.3201
"CR6"	7.1	0.2814	0.2454	0.3212
"CR6"	7.2	0.2824	0.2463	0.3222
"CR6"	7.3	0.2833	0.2472	0.3232
"CR6"	7.4	0.2842	0.2481	0.3242
"CR6"	7.5	0.2852	0.2489	0.3252
"CR6"	7.6	0.286	0.2498	0.3262
"CR6"	7.7	0.2869	0.2506	0.3271
"CR6"	7.8	0.2877	0.2514	0.328
"CR6"	7.9	0.2885	0.2522	0.3289
"CR6"	8	0.2894	0.253	0.3298
"CR6"	8.1	0.2902	0.2537	0.3306
"CR6"	8.2	0.2909	0.2545	0.3315
"CR6"	8.3	0.2917	0.2552	0.3323
"CR6"	8.4	0.2924	0.256	0.3331
"CR6"	8.5	0.2932	0.2566	0.3339
"CR6"	8.6	0.2938	0.2574	0.3347
"CR6"	8.7	0.2946	0.258	0.3354
"CR6"	8.8	0.2952	0.2587	0.3362
"CR6"	8.9	0.2959	0.2593	0.3369
"CR6"	9	0.2966	0.26	0.3376
"CR6"	9.1	0.2972	0.2606	0.3383
"CR6"	9.2	0.2978	0.2612	0.339
"CR6"	9.3	0.2985	0.2618	0.3397
"CR6"	9.4	0.2991	0.2624	0.3403
"CR6"	9.5	0.2997	0.263	0.341
"CR6"	9.6	0.3003	0.2636	0.3416
"CR6"	9.7	0.3009	0.2642	0.3422
"CR6"	9.8	0.3014	0.2647	0.3428
"CR6"	9.9	0.302	0.2653	0.3435
"CR6"	10	0.3026	0.2658	0.3441
"CR6"	10.1	0.3031	0.2663	0.3446
"CR6"	10.2	0.3036	0.2668	0.3452
"CR6"	10.3	0.3041	0.2674	0.3458
"CR6"	10.4	0.3046	0.2679	0.3463
"CR6"	10.5	0.3051	0.2684	0.3469
"CR6"	10.6	0.3056	0.2688	0.3474
"CR6"	10.7	0.3061	0.2693	0.3479
"CR6"	10.8	0.3066	0.2698	0.3484
"CR6"	10.9	0.3071	0.2703	0.349
"CR6"	11	0.3076	0.2707	0.3494
"CR6"	11.1	0.308	0.2712	0.35
"CR6"	11.2	0.3085	0.2716	0.3504
"CR6"	11.3	0.3089	0.2721	0.3509
"CR6"	11.4	0.3094	0.2725	0.3514
"CR6"	11.5	0.3098	0.2729	0.3518
"CR6"	11.6	0.3102	0.2734	0.3523
"CR6"	11.7	0.3106	0.2738	0.3527
"CR6"	11.8	0.311	0.2742	0.3532
"CR6"	11.9	0.3114	0.2746	0.3536
"CR6"	12	0.3118	0.275	0.354
"CR6"	12.1	0.3123	0.2754	0.3544
"CR6"	12.2	0.3126	0.2757	0.3549
"CR6"	12.3	0.313	0.2761	0.3553
"CR6"	12.4	0.3134	0.2765	0.3557
"CR6"	12.5	0.3137	0.2768	0.3561
"CR6"	12.6	0.3141	0.2772	0.3565
"CR6"	12.7	0.3145	0.2776	0.3568
"CR6"	12.8	0.3148	0.2779	0.3572
"CR6"	12.9	0.3152	0.2783	0.3576
"CR6"	13	0.3156	0.2786	0.358
"CR6"	13.1	0.3159	0.2789	0.3584
"CR6"	13.2	0.3162	0.2793	0.3587
"CR6"	13.3	0.3166	0.2796	0.359
"CR6"	13.4	0.3169	0.2799	0.3594
"CR6"	13.5	0.3172	0.2802	0.3598
"CR6"	13.6	0.3175	0.2806	0.3601
"CR6"	13.7	0.3178	0.2809	0.3604
"CR6"	13.8	0.3182	0.2812	0.3608
"CR6"	13.9	0.3184	0.2815	0.3611
"CR6"	14	0.3188	0.2818	0.3614
"CR6"	14.1	0.319	0.2821	0.3617
"CR6"	14.2	0.3194	0.2824	0.362
"CR6"	14.3	0.3196	0.2827	0.3624
"CR6"	14.4	0.3199	0.283	0.3626
"CR6"	14.5	0.3202	0.2832	0.363
"CR6"	14.6	0.3205	0.2835	0.3632
"CR6"	14.7	0.3208	0.2838	0.3635
"CR6"	14.8	0.321	0.2841	0.3638
"CR6"	14.9	0.3213	0.2844	0.3641
"CR6"	15	0.3216	0.2846	0.3644
